citing_pat	cited_pat	year(patent.date)
7841026	3858242	2010
4027915	3858242	1977
5691026	3858269	1997
5691026	4361610	1997
5691027	3858269	1997
5691027	4361610	1997
5902427	3858269	1999
5902427	4361610	1999
5956804	3858269	1999
4970754	3858269	1990
6993950	3858427	2006
5509345	3858481	1996
6604445	3858481	2003
4942801	3858481	1990
4942801	4207799	1990
5105717	3858481	1992
5123328	3858481	1992
5123328	4207799	1992
5073391	3858545	1991
5073391	4395427	1991
4324028	3858647	1982
6408980	3858678	2002
6648099	3858678	2003
6715581	3858678	2004
6715581	4419113	2004
4356885	3858678	1982
7552797	3858678	2009
D600549	3858717	2009
D600549	4228947	2009
5320215	3858717	1994
D617637	3858717	2010
D617637	4071139	2010
D617637	4228947	2010
5590827	3858790	1997
5598969	3858790	1997
D389115	3858790	1998
D449070	3858790	2001
7306134	3858790	2007
4703952	3858790	1987
4004690	3858790	1977
6913146	3858790	2005
D594289	3858815	2009
4928893	3858815	1990
5370328	3858822	1994
5697566	3858822	1997
7350729	3858822	2008
4081152	3858826	1978
4106721	3858826	1978
4106721	3957283	1978
5605523	3858873	1997
5658223	3858873	1997
5728035	3858873	1998
D404432	3858873	1999
5897459	3858873	1999
4214790	3858873	1980
7909742	3858873	2011
4377281	3858873	1983
4565368	3858873	1986
4598907	3858873	1986
4720099	3858873	1988
4730829	3858873	1988
4930770	3858873	1990
7156745	3858877	2007
D612443	3858877	2010
5529689	3859216	1996
D492753	3859216	2004
D492753	4268384	2004
D494654	3859216	2004
D494654	4268384	2004
4344777	3859216	1982
8293103	3859216	2012
8293103	4075097	2012
8293103	4075098	2012
8293103	4268384	2012
4626348	3859216	1986
4735716	3859216	1988
4735716	4268384	1988
4877521	3859216	1989
4877521	4268384	1989
4948505	3859216	1990
4948505	4268384	1990
5104537	3859216	1992
7000894	3859216	2006
7000894	4268384	2006
7658212	3859216	2010
7658212	3914176	2010
7610932	3859216	2009
7610932	4268384	2009
4173575	3859359	1979
4363764	3859359	1982
4400548	3859359	1983
4446074	3859359	1984
4491675	3859359	1985
4522933	3859359	1985
4160729	3859421	1979
6127450	3859421	2000
6300390	3859421	2001
6359090	3859421	2002
6384106	3859421	2002
5232772	3859421	1993
6140921	3859485	2000
4786967	3859485	1988
4099250	3859515	1978
4454610	3859515	1984
4646351	3859515	1987
4646351	4131880	1987
3969699	3859515	1976
6901422	3859515	2005
7337205	3859515	2008
5231663	3859515	1993
5744872	3859627	1998
7132934	3859627	2006
7132934	3860904	2006
7132934	3883843	2006
7132934	4107645	2006
4116132	3859650	1978
5517196	3859660	1996
5517196	3898652	1996
4229828	3859660	1980
4414548	3859660	1983
4660050	3859660	1987
5325096	3859660	1994
5325096	3898652	1994
4511183	3859704	1985
4530542	3859704	1985
4638899	3859705	1987
4027370	3859705	1977
6516580	3859766	2003
7159368	3859766	2007
4078377	3859786	1978
4151711	3859786	1979
4151711	3869246	1979
4151711	3958413	1979
4171612	3859786	1979
6240731	3859786	2001
4385490	3859786	1983
4498287	3859786	1985
4590769	3859786	1986
3982392	3859786	1976
4403459	3859800	1983
4180079	3859983	1979
3900020	3859983	1975
3957053	3859983	1976
8096315	3860025	2012
8096315	4023584	2012
8096315	4307744	2012
7753067	3860025	2010
7946309	3860025	2011
8291928	3860025	2012
8291928	4307744	2012
7681583	3860025	2010
7681583	4307744	2010
8387646	3860025	2013
8387646	4023584	2013
8387646	4307744	2013
7851054	3860036	2010
7851054	3884606	2010
6967778	3860036	2005
7329465	3860036	2008
5882774	3860036	1999
5882774	3860372	1999
5882774	3884606	1999
5882774	3924990	1999
5882774	4094947	1999
5901751	3860036	1999
5901751	4230149	1999
5962114	3860036	1999
5965247	3860036	1999
5976424	3860036	1999
5976424	3860372	1999
5976424	3884606	1999
5976424	3924990	1999
5976424	4094947	1999
5991077	3860036	1999
5999317	3860036	1999
6000415	3860036	1999
6000415	4230149	1999
6012820	3860036	2000
6018419	3860036	2000
6018419	4094947	2000
6876427	3860036	2005
6024455	3860036	2000
6031665	3860036	2000
6045894	3860036	2000
6045894	3884606	2000
6049419	3860036	2000
6053795	3860036	2000
6057961	3860036	2000
6080467	3860036	2000
6080467	4094947	2000
6082876	3860036	2000
6088067	3860036	2000
6088067	4094947	2000
6088159	3860036	2000
6088163	3860036	2000
6088163	4094947	2000
6096375	3860036	2000
6096375	4094947	2000
6101032	3860036	2000
6101032	4094947	2000
6111696	3860036	2000
6111697	3860036	2000
6113811	3860036	2000
6117530	3860036	2000
6120026	3860036	2000
6120026	4146229	2000
6124971	3860036	2000
6124971	4094947	2000
6141149	3860036	2000
7652820	3860036	2010
6157486	3860036	2000
6157490	3860036	2000
6179948	3860036	2001
6207260	3860036	2001
6207260	3884606	2001
6208466	3860036	2001
6210785	3860036	2001
6210785	4094947	2001
6256146	3860036	2001
6262842	3860036	2001
6262842	4094947	2001
6264336	3860036	2001
6268961	3860036	2001
6296927	3860036	2001
6297906	3860036	2001
6307676	3860036	2001
6322236	3860036	2001
6329046	3860036	2001
6335051	3860036	2002
7297393	3860036	2007
7297393	3860372	2007
7297393	3884606	2007
7297393	3924990	2007
7297393	4094947	2007
6352761	3860036	2002
6357880	3860036	2002
6368699	3860036	2002
6368699	4094947	2002
7348066	3860036	2008
6381068	3860036	2002
6396631	3860036	2002
6396631	4094947	2002
6407862	3860036	2002
6449092	3860036	2002
6449093	3860036	2002
6451414	3860036	2002
6451414	3884606	2002
6455140	3860036	2002
6459514	3860036	2002
6459514	4094947	2002
6475609	3860036	2002
6498683	3860036	2002
6506480	3860036	2003
6508560	3860036	2003
6515785	3860036	2003
6531230	3860036	2003
6531230	3884606	2003
6534158	3860036	2003
6543153	3860036	2003
6543153	4094947	2003
6565982	3860036	2003
6565982	4094947	2003
6569515	3860036	2003
6573963	3860036	2003
6574045	3860036	2003
6590705	3860036	2003
6590707	3860036	2003
6610356	3860036	2003
6613421	3860036	2003
6613421	3860372	2003
6613421	3884606	2003
6613421	3924990	2003
6613421	4094947	2003
6613819	3860036	2003
6626545	3860036	2003
6627300	3860036	2003
6635337	3860036	2003
6641280	3860036	2003
6641883	3860036	2003
6641883	4094947	2003
6641900	3860036	2003
6654170	3860036	2003
6667095	3860036	2003
6667095	3884606	2003
6673275	3860036	2004
6685341	3860036	2004
6685341	4094947	2004
6697195	3860036	2004
6721096	3860036	2004
6737154	3860036	2004
6737154	4094947	2004
6744561	3860036	2004
6749427	3860036	2004
6760157	3860036	2004
6783349	3860036	2004
6783349	3884606	2004
6788463	3860036	2004
6788463	3884606	2004
6797366	3860036	2004
6797366	3884606	2004
6804058	3860036	2004
6804058	4094947	2004
6808658	3860036	2004
6808658	3884606	2004
6827886	3860036	2004
6827886	3884606	2004
6829071	3860036	2004
6830713	3860036	2004
6830713	3884606	2004
7083847	3860036	2006
7083847	3860372	2006
7083847	3884606	2006
7083847	3924990	2006
7083847	4094947	2006
7141297	3860036	2006
6924014	3860036	2005
6924014	4094947	2005
7459204	3860036	2008
7147903	3860036	2006
7147903	4094947	2006
6926952	3860036	2005
7423708	3860036	2008
7423708	4094947	2008
7277141	3860036	2007
6888675	3860036	2005
6888675	4094947	2005
6888677	3860036	2005
7038745	3860036	2006
7038745	4094947	2006
6999233	3860036	2006
6934082	3860036	2005
7138173	3860036	2006
7138173	3884606	2006
7150907	3860036	2006
7057816	3860036	2006
8168302	3860036	2012
7833593	3860036	2010
7833593	4094947	2010
7019905	3860036	2006
7077649	3860036	2006
7298442	3860036	2007
6905220	3860036	2005
6905220	4094947	2005
6987612	3860036	2006
8568869	3860036	2013
7321464	3860036	2008
7321464	4094947	2008
6946188	3860036	2005
6917399	3860036	2005
7852560	3860036	2010
7852560	3860372	2010
7852560	3884606	2010
7852560	3924990	2010
7852560	4094947	2010
4076163	3860062	1978
5632498	3860078	1997
6102369	3860078	2000
6102369	3990593	2000
8061721	3860078	2011
8561857	3860111	2013
4125203	3860111	1978
4844295	3860111	1989
5110008	3860111	1992
8251263	3860111	2012
5344043	3860111	1994
D675099	3860111	2013
4754445	3860125	1988
5267257	3860222	1993
8602209	3860287	2013
8602209	4214660	2013
4549773	3860308	1985
4560212	3860308	1985
4807996	3860346	1989
8448824	3860353	2013
8287495	3860353	2012
8408421	3860353	2013
8298184	3860353	2012
5044393	3860354	1991
8596968	3860360	2013
5592386	3860365	1997
5592386	4197767	1997
4395206	3860366	1983
5518036	3860372	1996
5462681	3860521	1995
5462681	4274973	1995
5462681	4390439	1995
5559087	3860521	1996
5559087	4274973	1996
5723418	3860521	1998
5863871	3860521	1999
5863874	3860521	1999
5925601	3860521	1999
5932526	3860521	1999
6247478	3860521	2001
6525005	3860521	2003
6554005	3860521	2003
6667283	3860521	2003
6756347	3860521	2004
7125827	3860521	2006
7125827	4027512	2006
7125827	4274973	2006
5174914	3860521	1992
5182035	3860521	1993
5244589	3860521	1993
6855676	3860521	2005
6855676	4027512	2005
6855676	4274973	2005
5352376	3860521	1994
6967189	3860521	2005
6967189	4067997	2005
6967189	4274973	2005
4338454	3860709	1982
4339581	3860709	1982
7335373	3860709	2008
5154915	3860709	1992
6969769	3860709	2005
6969769	4082635	2005
4897532	3860794	1990
4000397	3860794	1976
5075538	3860794	1991
5366553	3860904	1994
5482314	3860904	1996
5890085	3860904	1999
6026340	3860904	2000
6272411	3860904	2001
6533057	3860904	2003
6533057	3870120	2003
6533057	3906441	2003
6533057	4107645	2003
6758353	3860999	2004
5186591	3860999	1993
4173103	3861102	1979
6591573	3861107	2003
7197856	3861107	2007
4551960	3861107	1985
4551960	3914063	1985
5048995	3861107	1991
5048995	3888440	1991
5048995	3914063	1991
5048995	3927499	1991
7578109	3861107	2009
7578109	3914063	2009
7587862	3861107	2009
7587862	3914063	2009
7530201	3861107	2009
