patent_id	inventor_id
3858244	3858244-1
3858247	3858247-1
3858252	3858252-1
3858254	3858254-1
3858257	3858257-1
3858258	3858258-1
3858275	3858275-1
3858281	3858281-1
3858282	3858282-1
3858290	3858290-1
3858291	3858291-1
3858304	3858304-1
3858304	3858304-2
3858304	3858304-3
3858306	3858306-1
3858306	3858306-2
3858315	3858315-1
3858317	3858317-1
3858317	3858317-2
3858321	3858321-1
3858323	3858323-1
3858326	3858326-1
3858328	3858328-1
3858332	3858332-1
3858339	3858339-1
3858348	3858348-1
3858349	3858349-1
3858360	3858360-1
3858368	3858368-1
3858368	3858368-2
3858371	3858371-1
3858372	3858372-1
3858373	3858373-1
3858373	3858373-2
3858373	3858373-3
3858374	3858374-1
3858394	3858394-1
3858401	3858401-1
3858405	3858405-1
3858408	3858408-1
3858418	3858418-1
3858423	3858423-1
3858435	3858435-1
3858452	3858452-1
3858452	3858452-2
3858453	3858453-1
3858453	3858453-2
3858461	3858461-1
3858464	3858464-1
3858467	3858464-1
3858479	3858479-1
3858480	3858480-1
3858480	3858480-2
3858485	3858485-1
3858485	3858485-2
3858489	3858489-1
3858496	3858496-1
3858498	3858498-1
3858499	3858499-1
3858500	3858500-1
3858500	3858500-2
3858509	3858509-1
3858514	3858514-1
3858514	3858514-2
3858524	3858524-1
3858531	3858531-1
3858541	3858541-1
3858541	3858541-2
3858546	3858546-1
3858546	3858546-2
3858546	3858546-3
3858547	3858547-1
3858555	3858555-1
3858566	3858566-1
3858569	3858569-1
3858574	3858574-1
3858577	3858577-1
3858577	3858577-2
3858577	3858577-3
3858580	3858580-1
3858582	3858580-1
3858588	3858588-1
3858588	3858588-2
3858597	3858597-1
3858602	3858602-1
3858607	3858607-1
3858611	3858611-1
3858615	3858615-1
3858618	3858618-1
3858620	3858620-1
3858638	3858638-1
3858641	3858641-1
3858641	3858641-2
3858642	3858642-1
3858642	3858642-2
3858642	3858642-3
3858642	3858642-4
3858643	3858643-1
3858643	3858643-2
3858646	3858646-1
3858649	3858649-1
3858649	3858649-2
3858655	3858655-1
3858655	3858655-2
3858676	3858676-1
3858677	3858677-1
3858688	3858688-1
3858693	3858693-1
3858719	3858719-1
3858725	3858725-1
3858725	3858725-2
3858725	3858725-3
3858726	3858726-1
3858739	3858739-1
3858739	3858739-2
3858747	3858747-1
3858752	3858752-1
3858752	3858752-2
3858762	3858762-1
3858767	3858767-1
3858769	3858769-1
3858770	3858770-1
3858774	3858774-1
3858784	3858784-1
3858793	3858793-1
3858804	3858804-1
3858832	3858832-1
3858836	3858836-1
3858839	3858839-1
3858841	3858841-1
3858847	3858847-1
3858851	3858851-1
