control	grant_year
3858244	1975
3858247	1975
3858252	1975
3858254	1975
3858257	1975
3858258	1975
3858275	1975
3858281	1975
3858282	1975
3858290	1975
3858291	1975
3858304	1975
3858306	1975
3858315	1975
3858317	1975
3858321	1975
3858323	1975
3858326	1975
3858328	1975
3858332	1975
3858339	1975
3858348	1975
3858349	1975
3858360	1975
3858368	1975
3858371	1975
3858372	1975
3858374	1975
3858394	1975
3858401	1975
3858405	1975
3858408	1975
3858418	1975
3858423	1975
3858435	1975
3858461	1975
3858464	1975
3858467	1975
3858479	1975
3858480	1975
3858489	1975
3858496	1975
3858498	1975
3858499	1975
3858500	1975
3858509	1975
3858514	1975
3858524	1975
3858531	1975
3858541	1975
3858546	1975
3858547	1975
3858555	1975
3858566	1975
3858569	1975
3858574	1975
3858577	1975
3858580	1975
3858582	1975
3858588	1975
3858597	1975
3858602	1975
3858607	1975
3858611	1975
3858615	1975
3858618	1975
3858620	1975
3858638	1975
3858641	1975
3858646	1975
3858649	1975
3858655	1975
3858676	1975
3858677	1975
3858688	1975
3858693	1975
3858719	1975
3858725	1975
3858726	1975
3858739	1975
3858747	1975
3858752	1975
3858762	1975
3858767	1975
3858769	1975
3858770	1975
3858774	1975
3858784	1975
3858793	1975
3858804	1975
3858832	1975
3858836	1975
3858839	1975
3858841	1975
3858847	1975
3858851	1975
3858863	1975
3858866	1975
3858868	1975
3858871	1975
3858872	1975
3858880	1975
3858882	1975
3858888	1975
3858890	1975
3858891	1975
3858898	1975
3858901	1975
3858933	1975
3858937	1975
3858940	1975
3858961	1975
3858963	1975
3858971	1975
3858978	1975
3858985	1975
3858986	1975
3858989	1975
3858995	1975
3859001	1975
3859005	1975
3859009	1975
3859010	1975
3859026	1975
3859041	1975
3859049	1975
3859053	1975
3859058	1975
3859059	1975
3859060	1975
3859078	1975
3859080	1975
3859084	1975
3859089	1975
3859094	1975
3859114	1975
3859119	1975
3859138	1975
3859144	1975
3859154	1975
3859188	1975
3859205	1975
3859209	1975
3859219	1975
3859222	1975
3859225	1975
3859227	1975
3859230	1975
3859234	1975
3859247	1975
3859250	1975
3859260	1975
3859288	1975
3859309	1975
3859328	1975
3859332	1975
3859333	1975
3859347	1975
3859348	1975
3859349	1975
3859353	1975
3859388	1975
3859395	1975
3859398	1975
3859401	1975
3859442	1975
3859448	1975
3859449	1975
3859451	1975
3859454	1975
3859463	1975
3859464	1975
3859469	1975
3859476	1975
3859481	1975
3859484	1975
3859502	1975
3859503	1975
3859506	1975
3859509	1975
3859510	1975
3859518	1975
3859524	1975
3859528	1975
3859529	1975
3859532	1975
3859543	1975
3859547	1975
3859549	1975
3859552	1975
3859557	1975
3859572	1975
3859584	1975
3859594	1975
3859604	1975
3859605	1975
3859607	1975
3859620	1975
3859621	1975
3859623	1975
3859624	1975
3859630	1975
3859638	1975
3859640	1975
3859642	1975
3859647	1975
3859648	1975
3859651	1975
3859664	1975
3859665	1975
3859668	1975
3859673	1975
3859712	1975
3859715	1975
3859717	1975
3859725	1975
3859728	1975
3859729	1975
3859730	1975
3859742	1975
3859749	1975
3859753	1975
3859758	1975
3859783	1975
3859788	1975
3859809	1975
3859836	1975
3859844	1975
3859849	1975
3859853	1975
3859855	1975
3859856	1975
3859859	1975
3859865	1975
3859868	1975
3859903	1975
3859922	1975
3859925	1975
3859934	1975
3859939	1975
3859944	1975
3859946	1975
3859950	1975
3859955	1975
3859957	1975
3859959	1975
3859960	1975
3859966	1975
3859976	1975
3859990	1975
3859992	1975
3859993	1975
3860005	1975
3860010	1975
3860043	1975
3860048	1975
3860051	1975
3860067	1975
3860069	1975
3860075	1975
3860080	1975
