michigan	similar	similarity
3930391	4586355	0.304347826087
3930424	3964346	0.232876712329
3930469	7757658	0.25
3930469	4572121	0.232876712329
3930469	6694944	0.216216216216
3930469	4187825	0.216216216216
3930471	3994129	0.232876712329
3930471	6295961	0.232876712329
3930471	5555869	0.232876712329
3930471	5054443	0.232876712329
3930475	4398525	0.304347826087
3930475	4409945	0.28571428571400004
3930475	4149501	0.28571428571400004
3930475	4033308	0.28571428571400004
3930541	4262749	0.216216216216
3930677	4591679	0.216216216216
3930682	4067612	0.384615384615
3930682	4007948	0.363636363636
3930682	3957223	0.323529411765
3930682	4209142	0.304347826087
3930758	4347046	0.304347826087
3930758	5044892	0.28571428571400004
3930758	4108577	0.267605633803
3930758	6068453	0.232876712329
3930767	4080116	0.232876712329
3930767	3952708	0.232876712329
3930767	3932075	0.232876712329
3930767	4137024	0.216216216216
3930783	3935473	0.216216216216
3930907	4129461	0.232876712329
3930956	4038143	0.25
3931028	6022488	0.232876712329
3931028	3966626	0.212121212121
3931028	4450302	0.203125
3931029	4077894	0.363636363636
3931029	4077895	0.267605633803
3931092	4093573	0.578947368421
3931092	4122056	0.551724137931
3931092	4014846	0.475409836066
3931092	4522976	0.25
3931121	3960822	0.304347826087
3931279	3981902	0.7647058823530001
3931279	4001296	0.730769230769
3931279	3980692	0.698113207547
3931279	3974191	0.636363636364
3931281	3952048	0.8571428571430001
3931281	3968140	0.673469387755
3931281	3932486	0.528301886792
3931281	3948970	0.52
3931283	3931284	0.914893617021
3931283	3933891	0.875
3931283	3954832	0.384615384615
3931283	3948981	0.363636363636
3931284	3933891	0.9565217391299998
3931284	3931283	0.914893617021
3931284	3954832	0.40625
3931284	3948981	0.384615384615
3931285	3948970	0.90243902439
3931285	3932486	0.886363636364
3931285	3987084	0.761904761905
3931285	3987067	0.673469387755
3931289	3983158	0.8367346938779999
3931289	3980694	0.7647058823530001
3931289	3983157	0.7647058823530001
3931289	3996266	0.7647058823530001
3931318	4014932	0.7647058823530001
3931318	3932661	0.384615384615
3931318	4017540	0.304347826087
3931325	3996200	0.34328358209
3931337	4189609	0.363636363636
3931337	4072704	0.323529411765
3931337	3954886	0.28571428571400004
3931410	4012520	0.525423728814
3931410	4196213	0.428571428571
3931410	4022904	0.304347826087
3931450	3966521	0.875
3931450	4568705	0.323529411765
3931450	4689354	0.28571428571400004
3931450	4810729	0.28571428571400004
3931875	4033440	0.384615384615
3931983	5022671	0.216216216216
3931983	4799704	0.216216216216
3931983	4746135	0.216216216216
3931983	7311321	0.216216216216
3932069	4281962	0.216216216216
3932320	3932347	0.698113207547
3932320	3939114	0.636363636364
3932320	3941731	0.636363636364
3932320	3932349	0.607142857143
3932339	3997501	0.304347826087
3932347	3939114	0.8367346938779999
3932347	3932348	0.7647058823530001
3932347	3932349	0.730769230769
3932347	3932320	0.698113207547
3932348	3932349	0.7647058823530001
3932348	3939114	0.7647058823530001
3932348	3932347	0.7647058823530001
3932348	3941731	0.636363636364
3932349	3932348	0.7647058823530001
3932349	3932347	0.730769230769
3932349	3941731	0.730769230769
3932349	3939114	0.666666666667
3932367	3939127	0.8
3932367	3991133	0.607142857143
3932367	3975456	0.578947368421
3932367	4137277	0.578947368421
3932425	4025558	0.525423728814
3932425	4010201	0.40625
3932425	3960862	0.216216216216
3932425	4431812	0.203389830508
3932486	3931285	0.886363636364
3932486	3948970	0.883720930233
3932486	3987084	0.673913043478
3932486	4013693	0.652173913043
3932541	4873377	0.216216216216
3932541	4154966	0.216216216216
3932617	3956302	0.403846153846
3932617	4027021	0.323529411765
3932617	3980789	0.232876712329
3932617	4239753	0.216216216216
3932661	4017540	0.40625
3932661	3931318	0.384615384615
3932661	4014932	0.34328358209
3932661	3932662	0.25
3932662	3932661	0.25
3932664	4042712	0.666666666667
3932664	4021575	0.636363636364
3932664	4042709	0.636363636364
3932664	4041178	0.607142857143
3932765	4035714	0.25
3932765	4133017	0.25
3932765	4138706	0.232876712329
3932765	7053570	0.216216216216
3932925	4031572	0.475409836066
3932975	3959939	0.28571428571400004
3932975	4044518	0.216216216216
3933028	4004452	0.914893617021
3933028	4228675	0.232876712329
3933028	5106481	0.216216216216
3933028	4258563	0.216216216216
3933102	5033630	0.216216216216
3933102	4928832	0.216216216216
3933102	7077442	0.216216216216
3933166	3935843	0.40625
3933166	3948232	0.25
3933330	6234576	0.216216216216
3933331	3973799	0.267605633803
3933334	3940108	0.578947368421
3933340	4068689	0.232876712329
3933438	4217869	0.232876712329
3933517	3933518	0.525423728814
3933518	3933517	0.525423728814
3933524	5401278	0.216216216216
3933699	3994837	0.25
3933708	6214918	0.233333333333
3933708	4546142	0.225806451613
3933708	6146546	0.218181818182
3933708	6068805	0.212121212121
3933794	4016165	0.304347826087
3933794	4039551	0.304347826087
3933794	4902794	0.267605633803
3933794	4250094	0.267605633803
3933816	4028356	0.323529411765
3933816	4075202	0.304347826087
3933816	4017492	0.28571428571400004
3933816	4016165	0.28571428571400004
3933864	4431813	0.216216216216
3933880	3933882	0.451612903226
3933880	3971818	0.28571428571400004
3933880	4336364	0.232876712329
3933880	4402908	0.216216216216
3933882	3933880	0.451612903226
3933882	3971818	0.28571428571400004
3933882	4024091	0.216216216216
3933882	4026844	0.216216216216
3933889	3983165	0.666666666667
3933889	3987085	0.636363636364
3933889	3979435	0.607142857143
3933889	3984457	0.607142857143
3933891	3931284	0.9565217391299998
3933891	3931283	0.875
3933891	3948981	0.384615384615
3933891	3954832	0.384615384615
3933895	3933899	0.475409836066
3933895	3933896	0.475409836066
3933895	3969379	0.451612903226
3933895	3969378	0.451612903226
3933896	3933899	0.698113207547
3933896	3944595	0.698113207547
3933896	3933897	0.666666666667
3933896	3933900	0.666666666667
3933897	3933896	0.666666666667
3933897	3933899	0.666666666667
3933897	3933900	0.607142857143
3933897	3944595	0.578947368421
3933898	3933900	0.666666666667
3933898	3933899	0.636363636364
3933898	3944595	0.607142857143
3933898	3933896	0.578947368421
3933899	3933900	0.7647058823530001
3933899	3933896	0.698113207547
3933899	3944595	0.698113207547
3933899	3933897	0.666666666667
3933900	3933899	0.7647058823530001
3933900	3944595	0.730769230769
3933900	3933898	0.666666666667
3933900	3933896	0.666666666667
3933932	3935126	0.294117647059
3933932	3957897	0.28571428571400004
3933950	5494613	0.267605633803
3933950	4703738	0.25
3933950	5452746	0.232876712329
3933950	4605039	0.232876712329
3934020	4134992	0.578947368421
3934020	3988474	0.578947368421
3934020	3983250	0.525423728814
3934020	4079130	0.28571428571400004
3934029	3934035	0.673913043478
3934029	3934030	0.625
3934029	3934031	0.615384615385
3934029	4189481	0.483333333333
3934030	3934035	0.861111111111
3934030	3934031	0.761904761905
3934030	3934029	0.625
3934030	4217364	0.6122448979590001
3934031	3934030	0.761904761905
3934031	3934035	0.6976744186049999
3934031	3934029	0.615384615385
3934031	4189481	0.545454545455
3934035	3934030	0.861111111111
3934035	3934031	0.6976744186049999
3934035	3934029	0.673913043478
3934035	4217364	0.56
3934560	4011841	0.232876712329
3934560	5931134	0.216216216216
3934560	5119780	0.216216216216
3934560	4442809	0.216216216216
3934570	4548174	0.232876712329
3934570	4510915	0.232876712329
3934570	4177782	0.232876712329
3934570	4053823	0.232876712329
3934684	4006802	0.25
3934684	4077498	0.232876712329
3934981	3944389	0.363636363636
3934981	3948602	0.323529411765
3935024	3940283	0.40625
3935034	4011107	0.428571428571
3935034	4501786	0.25
3935034	3964878	0.25
3935034	3999954	0.25
3935115	4423705	0.205882352941
3935126	4075122	0.403225806452
3935126	3957897	0.294117647059
3935126	3933932	0.294117647059
3935126	4471146	0.228571428571
3935290	3956434	0.304347826087
3935290	4675135	0.216216216216
3935316	6664237	0.216216216216
3935473	3930783	0.216216216216
3935706	3935707	0.7647058823530001
3935706	4463558	0.25
3935706	7360357	0.232876712329
3935706	4463557	0.232876712329
3935707	3935706	0.7647058823530001
3935748	4056089	0.216216216216
3935843	3933166	0.40625
3935843	4967791	0.25
3935843	3996955	0.25
3935843	4166476	0.232876712329
3935847	3935848	0.34328358209
3935847	4231225	0.232876712329
3935848	3935847	0.34328358209
3935848	4411224	0.28571428571400004
3935848	4231225	0.267605633803
3935848	4417547	0.25
3935850	4163434	0.25
3935850	4137882	0.25
3935850	5635630	0.232876712329
3935850	5069188	0.232876712329
3935922	3970840	0.363636363636
3936095	3963276	0.40625
3936095	3950035	0.25
3936095	3971595	0.216216216216
3936096	3969002	0.216216216216
3936131	4630880	0.216216216216
3936131	4624523	0.216216216216
3936131	4592615	0.216216216216
3936200	4049354	0.578947368421
3936200	4124316	0.28571428571400004
3936250	3937603	0.25
3936250	3973882	0.232876712329
3936250	3981643	0.232876712329
3936250	3996898	0.232876712329
3936330	4157648	0.28571428571400004
3936365	4076768	0.578947368421
3936487	3944593	0.8
3936487	4003946	0.578947368421
3936487	3985787	0.551724137931
3936487	3989735	0.551724137931
3936794	4011654	0.428571428571
3936794	4011655	0.40625
3936905	3936903	0.323529411765
3937033	4117698	0.304347826087
3937033	4439992	0.304347826087
3937033	4265092	0.267605633803
3937033	4245482	0.267605633803
3937081	4047433	0.267605633803
3937120	4708557	0.232876712329
3937120	4586862	0.232876712329
3937188	4018193	0.25
3937188	4050420	0.25
3937188	4370959	0.25
3937188	4175531	0.25
3937193	4596226	0.267605633803
3937193	4053823	0.267605633803
3937193	4167927	0.25
3937193	4367722	0.25
3937196	4072133	0.28571428571400004
3937196	6945237	0.216216216216
3937198	5635630	0.323529411765
3937198	4153025	0.28571428571400004
3937198	5617832	0.267605633803
3937198	5390645	0.267605633803
3937266	3948309	0.267605633803
3937269	4202692	0.275362318841
3937269	3969159	0.234375
3937269	4312400	0.222222222222
3937269	5028257	0.214285714286
3937287	3962570	0.25
3937287	3984667	0.25
3937287	3962569	0.216216216216
3937342	4023692	0.8367346938779999
3937357	4142677	0.25
3937489	4027899	0.25
3937523	4068900	0.475409836066
3937523	4281880	0.216216216216
3937603	3981643	0.267605633803
3937603	3936250	0.25
3937603	3973882	0.232876712329
3937603	4029445	0.216216216216
3937768	4353338	0.216216216216
3937827	4820706	0.267605633803
3937827	4579843	0.267605633803
3937827	4160827	0.267605633803
3937827	3958025	0.267605633803
3937994	3984713	0.5
3937994	3947711	0.34328358209
3937994	6483293	0.216216216216
3938048	3987400	0.232876712329
3938075	3938479	0.267605633803
3938075	4187806	0.232876712329
3938075	3948228	0.216216216216
3938089	4873666	0.25
3938089	5568427	0.216216216216
3938112	4029180	0.428571428571
3938117	3983533	0.267605633803
3938117	7843255	0.232876712329
3938117	4333490	0.232876712329
3938117	5396193	0.232876712329
3938175	4003127	0.40625
3938231	4124328	0.267605633803
3938231	4093392	0.232876712329
3938231	4194862	0.216216216216
3938321	3952502	0.267605633803
3938324	3958416	0.551724137931
3938324	4179881	0.232876712329
3938324	3958413	0.232876712329
3938324	7389643	0.232876712329
3938396	4796477	0.216216216216
3938406	3938407	0.267605633803
3938407	3938406	0.267605633803
3938408	3985045	0.28571428571400004
3938408	4181042	0.232876712329
3938428	4043256	0.525423728814
3938479	4153023	0.363636363636
3938479	4187806	0.323529411765
3938479	4183335	0.323529411765
3938479	4237829	0.28571428571400004
3938603	4580645	0.216216216216
3938631	7137919	0.25
3938631	4976670	0.232876712329
3938631	5272630	0.232876712329
3938631	5496231	0.232876712329
3938754	3938755	0.525423728814
3938754	3995788	0.475409836066
3938754	3940083	0.40625
3938754	3999722	0.232876712329
3938755	3995788	0.7647058823530001
3938755	3938754	0.525423728814
3938755	3940083	0.363636363636
3938755	4046332	0.232876712329
3938821	6099038	0.25
3938821	4946192	0.216216216216
3938822	6604887	0.216216216216
3938841	4050689	0.232876712329
3938850	3950037	0.607142857143
3938850	4161339	0.267605633803
3938850	3966268	0.25
3938850	4240671	0.232876712329
3938940	3959697	0.578947368421
3938940	4001638	0.525423728814
3938940	4203052	0.34328358209
3938940	6408820	0.267605633803
3939013	4478653	0.232876712329
3939013	4551182	0.232876712329
3939013	5614034	0.232876712329
3939013	4443272	0.232876712329
3939114	3932347	0.8367346938779999
3939114	3932348	0.7647058823530001
3939114	3932349	0.666666666667
3939114	3941731	0.666666666667
3939127	3932367	0.8
3939127	4137277	0.607142857143
3939127	3975456	0.607142857143
3939127	4092373	0.551724137931
3939212	3940449	0.363636363636
3939212	3983167	0.203703703704
3939243	4028037	0.34328358209
3939521	3942210	0.216216216216
3939521	4142267	0.216216216216
3939551	3985487	0.232876712329
3939654	4027477	0.28571428571400004
3939654	6662552	0.216216216216
3939654	5341643	0.216216216216
3939654	5115639	0.216216216216
3939775	4082042	0.232876712329
3939779	4312428	0.216216216216
3939862	4026493	0.216216216216
3939980	3939981	0.28571428571400004
3939981	3939980	0.28571428571400004
3940006	4042134	0.304347826087
3940041	4106681	0.25
3940059	6013192	0.225352112676
3940059	3939091	0.213114754098
3940059	4107401	0.212121212121
3940059	4012244	0.208955223881
3940082	3973786	0.25
3940082	5507449	0.232876712329
3940082	5014926	0.232876712329
3940082	4429920	0.216216216216
3940083	3938754	0.40625
3940083	3938755	0.363636363636
3940083	3995788	0.363636363636
3940083	4046332	0.25
3940108	3933334	0.578947368421
3940160	3940161	0.578947368421
3940160	3941401	0.267605633803
3940160	4084838	0.267605633803
3940160	4456282	0.232876712329
3940161	3940160	0.578947368421
3940161	3941401	0.232876712329
3940165	4180230	0.216216216216
3940283	3935024	0.40625
3940283	4127701	0.25
3940283	4385099	0.216216216216
3940320	3956079	0.451612903226
3940320	3966565	0.428571428571
3940320	3956078	0.40625
3940320	4036711	0.384615384615
3940349	3933935	0.235294117647
3940349	5861466	0.216216216216
3940389	4155746	0.40625
3940389	4054440	0.363636363636
3940389	3989507	0.34328358209
3940389	4051130	0.304347826087
3940404	3953463	0.40625
3940404	5504095	0.232876712329
3940404	4220792	0.21875
3940404	3951952	0.216216216216
3940448	4154767	0.304347826087
3940448	4096108	0.216216216216
3940449	3939212	0.363636363636
3940453	4042560	0.28571428571400004
3940453	4066613	0.28571428571400004
3940657	4389597	0.25
3940657	5072210	0.232876712329
3940851	4003130	0.525423728814
3940928	4174610	0.25
3940928	4191014	0.25
3940928	4342194	0.232876712329
3940928	3950943	0.232876712329
3941111	4056088	0.384615384615
3941111	4046125	0.28571428571400004
3941111	4228780	0.28571428571400004
3941111	4213436	0.28571428571400004
3941153	4699351	0.232876712329
3941172	3945410	0.304347826087
3941401	3940160	0.267605633803
3941401	3940161	0.232876712329
3941401	3992036	0.216216216216
3941411	4168050	0.216216216216
3941527	4393829	0.216216216216
3941589	4547221	0.636363636364
3941589	4072543	0.304347826087
3941589	5034069	0.28571428571400004
3941589	5252149	0.25
3941610	4609709	0.259259259259
3941610	5536764	0.223880597015
3941610	4357440	0.22
3941610	4983664	0.216666666667
3941731	3932349	0.730769230769
3941731	3932347	0.666666666667
3941731	3939114	0.666666666667
3941731	3932320	0.636363636364
3941787	3994894	0.6046511627910001
3941787	3945960	0.490566037736
3941787	3996227	0.410714285714
3941787	3963717	0.392156862745
3941802	3992400	0.666666666667
3941802	3941803	0.323529411765
3941802	4000151	0.267605633803
3941802	3994940	0.25
3941803	3941802	0.323529411765
3941803	3947466	0.28571428571400004
3941803	3993660	0.267605633803
3941803	3996230	0.267605633803
3941827	5175346	0.25
3941827	3946088	0.232876712329
3941827	4299775	0.216216216216
3941827	4810808	0.216216216216
3942055	4635349	0.232876712329
3942210	4142267	0.25
3942210	3939521	0.216216216216
3942235	3971116	0.28571428571400004
3942235	3969808	0.25
3942235	3961408	0.25
3942235	3946479	0.25
3942338	4056953	0.7647058823530001
3942385	5570488	0.216216216216
3942385	4800610	0.216216216216
3942417	4005809	0.428571428571
3942417	4474318	0.25
3942417	5409160	0.216216216216
3942417	4715519	0.216216216216
3942490	4598674	0.25
3942490	4676203	0.232876712329
3942490	4660529	0.216216216216
3942504	3957072	0.40625
3942614	4187935	0.232876712329
3942614	4349089	0.232876712329
3942614	4069900	0.216216216216
3942614	4537088	0.216216216216
3942712	3937393	0.232876712329
3942712	3987957	0.232876712329
3942712	4113104	0.232876712329
3942712	5961035	0.232876712329
3942812	4077639	0.267605633803
3942953	4027721	0.607142857143
3943176	4006161	0.245283018868
3943176	3953546	0.232142857143
3943176	4259105	0.205882352941
3943176	5276170	0.205882352941
3943206	3962380	0.216216216216
3943800	3967664	0.267605633803
3943815	5373768	0.323529411765
3943896	5133318	0.216216216216
3943896	4106440	0.216216216216
3944017	3948341	0.40625
3944017	4531780	0.216216216216
3944202	4623085	0.216216216216
3944307	4118259	0.363636363636
3944389	3934981	0.363636363636
3944389	3948602	0.28571428571400004
3944477	4224130	0.232876712329
3944519	4234713	0.34328358209
3944519	4681908	0.232876712329
3944519	6509423	0.232876712329
3944519	6201055	0.216216216216
3944562	4150036	0.216216216216
3944593	3936487	0.8
3944593	3989735	0.525423728814
3944593	3985787	0.525423728814
3944593	4003946	0.5
3944595	3933900	0.730769230769
3944595	3933896	0.698113207547
3944595	3933899	0.698113207547
3944595	3933898	0.607142857143
3944702	3976497	0.363636363636
3944702	3986997	0.323529411765
3944702	4177175	0.28571428571400004
3944702	4401718	0.267605633803
3944704	4042746	0.34328358209
3944704	4157416	0.304347826087
3944704	4239571	0.267605633803
3944704	3975492	0.232876712329
3944760	4389549	0.304347826087
3944864	3985393	0.428571428571
3945102	3962926	0.607142857143
3945102	4059023	0.216216216216
3945217	4530218	0.232876712329
3945217	4263962	0.232876712329
3945362	4345575	0.267605633803
3945362	4998526	0.232876712329
3945362	4393850	0.232876712329
3945362	5411006	0.216216216216
3945365	6267107	0.25
3945365	5313921	0.25
3945365	4491104	0.25
3945365	5501191	0.232876712329
3945410	3941172	0.304347826087
3945474	4113072	0.451612903226
3945474	4076276	0.216216216216
3945587	4083512	0.216216216216
3945907	3974058	0.636363636364
3945907	4100049	0.25
3945907	4377454	0.216216216216
3945911	4394236	0.216216216216
3945960	3994894	0.6
3945960	3941787	0.490566037736
3945960	3996227	0.363636363636
3945960	4017499	0.3125
3945973	4146688	0.216216216216
3946015	3951982	0.428571428571
3946015	3956492	0.232876712329
3946046	4053485	0.28571428571400004
3946046	3997566	0.28571428571400004
3946046	3974146	0.25
3946046	3993686	0.232876712329
3946056	4731461	0.216216216216
3946056	4552985	0.205882352941
3946198	4055792	0.267605633803
3946276	4115836	0.323529411765
3946276	4093971	0.25
3946276	4104700	0.232876712329
3946285	3970935	0.304347826087
3946285	6055359	0.232876712329
3946285	3988664	0.216216216216
3946473	3997951	0.267605633803
3946478	3946479	0.475409836066
3946478	3942235	0.232876712329
3946478	3961408	0.232876712329
3946479	3946478	0.475409836066
3946479	3942235	0.25
3946479	3961408	0.25
3946479	3971116	0.25
3946840	4552255	0.216216216216
3947068	4152023	0.232876712329
3947149	4708585	0.232876712329
3947155	4179630	0.323529411765
3947204	4005967	0.551724137931
3947280	3959184	0.474576271186
3947301	4388254	0.216216216216
3947396	3950296	0.363636363636
3947418	3948907	0.893617021277
3947418	3948891	0.7115384615379999
3947418	4060523	0.268656716418
3947418	4098812	0.265625
3947425	3931110	0.232876712329
3947426	4101473	0.363636363636
3947427	5290862	0.25
3947427	5556917	0.232876712329
3947427	3996204	0.232876712329
3947427	5237007	0.232876712329
3947457	3976644	0.363636363636
3947457	4252962	0.222222222222
3947457	6649796	0.211267605634
3947457	4147886	0.210526315789
3947466	3994940	0.323529411765
3947466	3941803	0.28571428571400004
3947466	3957761	0.25
3947466	3994941	0.216216216216
3947520	4077967	0.216216216216
3947520	4299968	0.216216216216
3947520	4329468	0.216216216216
3947520	3994981	0.215384615385
3947531	4196156	0.216216216216
3947531	4276240	0.216216216216
3947591	3998969	0.304347826087
3947591	4066765	0.28571428571400004
3947591	4134913	0.25
3947591	3954997	0.25
3947653	3947654	0.666666666667
3947654	3947653	0.666666666667
3947711	3984713	0.363636363636
3947711	3937994	0.34328358209
3947711	6414479	0.216216216216
3947738	4063146	0.267605633803
3947738	4019107	0.25
3947738	4866556	0.232876712329
3947738	5541827	0.216216216216
3947764	5471172	0.219178082192
3947764	5459425	0.216216216216
3947764	4567409	0.216216216216
3947800	3953821	0.25
3948012	3994111	0.28571428571400004
3948053	3948235	0.475409836066
3948064	4075876	0.232876712329
3948064	4077239	0.216216216216
3948064	4986093	0.216216216216
3948228	3938479	0.232876712329
3948228	4099491	0.232876712329
3948228	3938075	0.216216216216
3948232	3933166	0.25
3948232	4051823	0.25
3948232	4095568	0.25
3948232	4282840	0.25
3948235	3948053	0.475409836066
3948284	4262880	0.232876712329
3948284	5058623	0.216216216216
3948309	3937266	0.267605633803
3948313	4036285	0.475409836066
3948313	3990502	0.451612903226
3948334	4022494	0.232876712329
3948334	3992026	0.216216216216
3948334	4084838	0.216216216216
3948336	4046212	0.428571428571
3948336	4065152	0.25
3948336	4813704	0.216216216216
3948336	4159125	0.216216216216
3948337	4084838	0.232876712329
3948337	4200165	0.216216216216
3948337	3992036	0.216216216216
3948337	3990725	0.216216216216
3948341	3944017	0.40625
3948341	3958659	0.28571428571400004
3948341	4531780	0.216216216216
3948341	4458913	0.216216216216
3948414	4181147	0.216216216216
3948414	5022713	0.216216216216
3948460	4277037	0.216216216216
3948460	4164337	0.216216216216
3948540	3960390	0.323529411765
3948540	4006919	0.304347826087
3948540	3966228	0.25
3948540	3966226	0.25
3948544	3972543	0.363636363636
3948557	4045080	0.475409836066
3948602	3934981	0.323529411765
3948602	3944389	0.28571428571400004
3948618	3950145	0.698113207547
3948618	4005993	0.666666666667
3948618	4005992	0.607142857143
3948618	3958955	0.551724137931
3948619	4311562	0.40625
3948619	4186102	0.323529411765
3948619	4117011	0.304347826087
3948619	3994698	0.304347826087
3948620	3990868	0.551724137931
3948620	4132038	0.428571428571
3948620	4156327	0.28571428571400004
3948708	4102975	0.34328358209
3948789	4146491	0.38
3948789	3984338	0.327868852459
3948789	4137189	0.25
3948789	4172805	0.242424242424
3948811	4061601	0.428571428571
3948825	4585807	0.225352112676
3948891	3948907	0.730769230769
3948891	3947418	0.7115384615379999
3948891	4098812	0.242424242424
3948891	4060523	0.228571428571
3948903	4092309	0.241935483871
3948903	4137408	0.232876712329
3948903	4101661	0.216216216216
3948907	3947418	0.893617021277
3948907	3948891	0.730769230769
3948907	4060523	0.264705882353
3948907	3997527	0.264705882353
3948929	3948930	0.914285714286
3948929	3948932	0.659090909091
3948929	3985765	0.435897435897
3948929	4153807	0.294117647059
3948930	3948929	0.914285714286
3948930	3948932	0.714285714286
3948930	3985765	0.486486486486
3948930	4060523	0.298245614035
3948932	3948930	0.714285714286
3948932	3948929	0.659090909091
3948932	3985765	0.487804878049
3948932	4006164	0.277777777778
3948948	4943642	0.230769230769
3948948	4450278	0.206896551724
3948970	3931285	0.90243902439
3948970	3932486	0.883720930233
3948970	3987084	0.674418604651
3948970	4013693	0.651162790698
3948981	3933891	0.384615384615
3948981	3931284	0.384615384615
3948981	3931283	0.363636363636
3948981	5965733	0.215384615385
3949015	4248979	0.232876712329
3949053	4060371	0.607142857143
3949053	4061463	0.232876712329
3949053	5216968	0.216216216216
3949138	4631312	0.267605633803
3949138	4265977	0.25
3949138	4602059	0.25
3949138	4156669	0.25
3949153	3958074	0.323529411765
3949430	4217668	0.323529411765
3949430	4180876	0.304347826087
3949430	4215445	0.267605633803
3949528	4016686	0.232876712329
3949714	4207849	0.25
3949714	3996906	0.25
3949714	6675756	0.216216216216
3949714	6513794	0.216216216216
3949715	4069796	0.232876712329
3949779	3968813	0.475409836066
3949840	5305856	0.34328358209
3949840	3966028	0.28571428571400004
3949840	7198138	0.216216216216
3949841	4090592	0.304347826087
3950009	4309229	0.451612903226
3950035	3936095	0.25
3950035	3963276	0.216216216216
3950037	3938850	0.607142857143
3950037	4161339	0.28571428571400004
3950037	4254996	0.25
3950037	4245867	0.25
3950139	4208374	0.28571428571400004
3950139	4682470	0.25
3950145	4005993	0.7647058823530001
3950145	3948618	0.698113207547
3950145	4052171	0.666666666667
3950145	4082517	0.636363636364
3950296	3947396	0.363636363636
3950306	4009207	0.25
3950306	4281097	0.216216216216
3950306	5286825	0.205882352941
3950317	3953393	0.5
3950317	4327005	0.267605633803
3950317	4014846	0.232876712329
3950317	4093573	0.232876712329
3950363	4021467	0.535714285714
3950363	3954833	0.271186440678
3950363	3974195	0.268656716418
3950363	4065629	0.264705882353
3950538	4542144	0.232876712329
3950538	3962434	0.205882352941
3950722	4052786	0.40625
3950741	4394613	0.216216216216
3950745	3997859	0.216216216216
3951011	4098148	0.216216216216
3951011	5007309	0.216216216216
3951011	5033331	0.216216216216
3951045	4351228	0.28571428571400004
3951045	4828068	0.267605633803
3951045	4573399	0.25
3951045	5213174	0.232876712329
3951048	4926745	0.267605633803
3951048	5590968	0.216216216216
3951612	4826734	0.230769230769
3951612	6548193	0.222222222222
3951612	6548192	0.219178082192
3951612	6007390	0.216216216216
3951634	4047919	0.28571428571400004
3951634	4661141	0.25
3951634	4043782	0.216216216216
3951683	3951684	0.267605633803
3951684	3951683	0.267605633803
3951689	4084042	0.384615384615
3951689	4084041	0.363636363636
3951689	3993503	0.34328358209
3951689	3966492	0.34328358209
3951982	3946015	0.428571428571
3951982	3939164	0.258620689655
3951982	4483986	0.227272727273
3951982	4077956	0.227272727273
3952048	3931281	0.8571428571430001
3952048	3968140	0.75
3952048	3932486	0.5090909090910001
3952048	3948970	0.5
3952112	4103035	0.363636363636
3952371	4008508	0.267605633803
3952383	3977054	0.267605633803
3952508	3972399	0.304347826087
3952708	3930767	0.232876712329
3952709	6070565	0.216216216216
3952827	4457390	0.232876712329
3952827	7225894	0.216216216216
3953080	3964796	0.551724137931
3953080	4061403	0.267605633803
3953080	3958834	0.232876712329
3953200	3984237	0.475409836066
3953200	4093698	0.25
3953393	3950317	0.5
3953393	4327005	0.304347826087
3953393	4202956	0.28571428571400004
3953393	4286074	0.267605633803
3953463	3940404	0.40625
3953463	5162519	0.25
3953463	4006164	0.229508196721
