id,grant_date,inventor_id,state,treatment
4566137,1986,3858242-1,MI,0
3858242,1975,3858242-1,MI,1
3873997,1975,3858242-1,MI,1
5682689,1997,3858242-1,MI,0
6385781,2002,3858242-1,MI,0
3906546,1975,3858242-1,MI,1
4354284,1982,3858242-1,MI,1
4354283,1982,3858242-1,MI,1
4375108,1983,3858242-1,MI,1
4398306,1983,3858242-1,MI,1
3916446,1975,3858242-1,MI,1
3858269,1975,3858269-1,MI,1
3858272,1975,3858272-1,MI,1
4482041,1984,3858288-1,MI,1
4534458,1985,3858288-1,MI,0
3931875,1976,3858288-1,MI,1
4601374,1986,3858288-1,MI,0
3937535,1976,3858288-1,MI,1
4620625,1986,3858288-1,MI,0
4644646,1987,3858288-1,MI,0
4815867,1989,3858288-1,MI,0
4894913,1990,3858288-1,MI,0
3870384,1975,3858288-1,MI,1
3978566,1976,3858288-1,MI,1
4991701,1991,3858288-1,???,0
3871093,1975,3858288-1,MI,1
4019784,1977,3858288-1,MI,0
4026399,1977,3858288-1,MI,1
4033440,1977,3858288-1,MI,1
4054339,1977,3858288-1,MI,1
5685723,1997,3858288-1,MI,0
5697791,1997,3858288-1,FL,0
5823308,1998,3858288-1,MI,0
4117917,1978,3858288-1,MI,1
4117917,1978,4117917-1,MI,1
6033227,2000,3858288-1,Tokyo,0
4132105,1979,3858288-1,MI,1
6213917,2001,3858288-1,MI,0
4153308,1979,3858288-1,MI,1
4179780,1979,3858288-1,MI,1
4179780,1979,4117917-1,MI,1
4219246,1980,3858288-1,MI,1
3858288,1975,3858288-1,MI,0
4226321,1980,3858288-1,MI,1
4276974,1981,3858288-1,MI,1
4296977,1981,3858288-1,MI,1
4304412,1981,3858288-1,MI,1
4355992,1982,3858288-1,MI,1
3858289,1975,3858289-1,MI,1
3858289,1975,3858289-2,MI,1
3858289,1975,3858289-3,MI,1
3942363,1976,3858289-1,MI,1
3942363,1976,3858289-3,MI,1
3872712,1975,3858289-2,MI,1
3872712,1975,3858289-3,MI,1
3896670,1975,3858289-2,MI,1
3896670,1975,3896670-1,MI,1
4174627,1979,3858289-3,MI,1
4285233,1981,3858289-3,MI,1
4484385,1984,3858299-1,MI,1
4630363,1986,3858299-1,MI,0
4998659,1991,3858299-1,MI,0
3858299,1975,3858299-1,MI,1
6226853,2001,3858299-1,IL,0
4384667,1983,3858299-1,MI,1
4384667,1983,3942235-2,MI,1
4384667,1983,3981065-2,MI,1
3858391,1975,3858391-1,MI,1
3938321,1976,3858391-1,MI,0
3878678,1975,3858391-1,MI,1
3878678,1975,3878678-1,MI,1
3878678,1975,3878678-2,MI,1
3888458,1975,3858391-1,MI,1
3888458,1975,3888458-1,MI,1
3888458,1975,3888458-3,MI,1
3902316,1975,3858391-1,MI,1
3858427,1975,3858427-1,MI,1
3858436,1975,3858436-1,MI,1
3858455,1975,3858455-1,MI,1
3858455,1975,3858455-2,MI,1
3859216,1975,3858455-1,MI,1
3859216,1975,3859216-2,MI,1
3859216,1975,3859216-3,MI,1
3990549,1976,3858455-1,MI,1
3990549,1976,3893345-4,MI,1
4006805,1977,3858455-1,MI,1
4006805,1977,3859216-3,MI,1
3893345,1975,3858455-1,MI,1
3893345,1975,3858455-2,MI,1
3893345,1975,3859216-3,MI,1
3893345,1975,3893345-4,MI,1
3916710,1975,3858455-1,MI,1
3916710,1975,3858455-2,MI,1
3916714,1975,3858455-1,MI,1
3916714,1975,3858455-2,MI,1
4031762,1977,3858455-2,MI,1
3858460,1975,3858460-1,MI,1
3858460,1975,3858460-2,MI,1
5150685,1992,3858460-1,MI,0
5203304,1993,3858460-1,Baden-Würt,0
5644103,1997,3858460-1,NH,0
6378681,2002,3858460-1,Nordjyllan,0
6446773,2002,3858460-1,Nordrhein-,0
6513615,2003,3858460-1,MI,0
6533095,2003,3858460-1,NY,0
6578691,2003,3858460-1,OH,0
6578684,2003,3858460-1,???,0
6578653,2003,3858460-1,Shizuoka-k,0
6626786,2003,3858460-1,???,0
6648784,2003,3858460-1,CO,0
6668961,2003,3858460-1,MI,0
6672419,2004,3858460-1,WI,0
6688445,2004,3858460-1,Bayern,0
4679455,1987,3858460-2,MI,0
4174644,1979,3858460-2,MI,1
4174644,1979,4174644-1,MI,1
4222283,1980,3858460-2,MI,1
3907469,1975,3858460-2,MI,1
4341281,1982,3858460-2,MI,1
3858481,1975,3858481-1,MI,1
3978765,1976,3858482-1,MI,1
4128026,1978,3858482-1,MI,1
3858482,1975,3858482-1,MI,1
4434670,1984,3858485-1,MI,1
4485844,1984,3858485-1,MI,1
4485844,1984,4485844-1,MI,1
3858485,1975,3858485-1,MI,0
4496459,1985,3858485-1,MI,0
4497336,1985,3858485-1,MI,0
4574047,1986,3858485-1,MI,0
4651570,1987,3858485-1,MI,0
4721563,1988,3858485-1,MI,0
3970566,1976,3858485-1,MI,1
4970003,1990,3858485-1,IL,0
5128031,1992,3858485-1,VA,0
5176825,1993,3858485-1,CA,0
5462677,1995,3858485-1,CA,0
4167483,1979,3858485-1,MI,1
4167483,1979,4167483-2,MI,1
4183812,1980,3858485-1,MI,1
4183812,1980,4167483-2,MI,1
4197207,1980,3858485-1,MI,1
4197207,1980,4167483-2,MI,1
4215718,1980,3858485-1,MI,1
4215718,1980,4167483-2,MI,1
4265761,1981,3858485-1,MI,1
4265761,1981,4167483-2,MI,1
4265271,1981,3858485-1,MI,1
4265271,1981,4167483-2,MI,1
4268384,1981,3858485-1,MI,1
4268384,1981,4167483-2,MI,1
4281554,1981,3858485-1,MI,1
4299696,1981,3858485-1,MI,1
4299696,1981,4167483-2,MI,1
4372855,1983,3858485-1,MI,1
4372855,1983,4167483-2,MI,1
4387022,1983,3858485-1,MI,1
4387022,1983,4167483-2,MI,1
4399033,1983,3858485-1,MI,1
4399033,1983,4167483-2,MI,1
4419240,1983,3858485-1,MI,1
3858533,1975,3858533-1,MI,1
3858545,1975,3858545-1,MI,1
3930767,1976,3858558-1,MI,1
3996898,1976,3858558-1,MI,1
3996898,1976,3868930-2,MI,1
3858558,1975,3858558-1,MI,1
3858606,1975,3858606-1,MI,1
4930401,1990,3858606-1,MI,0
4111226,1978,3858606-1,MI,1
4181148,1980,3858606-1,MI,0
4227547,1980,3858606-1,MI,1
4257455,1981,3858606-1,MI,1
4330013,1982,3858606-1,MI,1
4372202,1983,3858606-1,MI,1
3858628,1975,3858628-1,MI,1
3858647,1975,3858647-1,MI,1
4071934,1978,3858647-1,MI,1
3989121,1976,3858678-1,MI,1
3989121,1976,3989121-1,MI,1
3858678,1975,3858678-1,MI,1
3926359,1975,3858691-1,MI,1
3869785,1975,3858691-1,MI,1
3858691,1975,3858691-1,MI,1
4160804,1979,3858691-1,MI,1
3858698,1975,3858698-1,MI,1
3863450,1975,3858698-1,MI,1
3858717,1975,3858717-1,MI,1
4521435,1985,3858717-1,MI,0
3865953,1975,3858717-1,MI,1
3962961,1976,3858717-1,MI,1
3971273,1976,3858717-1,MI,0
3976796,1976,3858717-1,MI,1
3876812,1975,3858717-1,MI,1
4192991,1980,3858717-1,MI,0
3896239,1975,3858717-1,MI,1
3901000,1975,3858717-1,MI,1
3933375,1976,3858790-1,MI,1
3933375,1976,3933375-1,MI,1
4081921,1978,3858790-1,MI,1
3858790,1975,3858790-1,MI,1
3896512,1975,3858815-1,MI,1
3858815,1975,3858815-1,MI,1
3858822,1975,3858822-1,MI,1
3858824,1975,3858824-1,MI,1
3938755,1976,3858824-1,MI,1
3938755,1976,3901461-1,MI,1
3938755,1976,3901461-3,MI,1
3938754,1976,3858824-1,MI,1
3938754,1976,3901461-1,MI,1
3940083,1976,3858824-1,MI,1
3940083,1976,3901461-1,MI,1
3940083,1976,3901461-3,MI,1
4881778,1989,3858824-1,MI,0
3969795,1976,3858824-1,MI,1
3995788,1976,3858824-1,MI,1
3995788,1976,3901461-1,MI,1
3995788,1976,3901461-3,MI,1
4000548,1977,3858824-1,MI,1
4000548,1977,3895821-1,MI,1
4007948,1977,3858824-1,MI,1
4007948,1977,3901461-1,MI,1
3874694,1975,3858824-1,MI,1
4027829,1977,3858824-1,MI,1
4027829,1977,3895821-2,MI,1
3859921,1975,3858824-1,MI,1
4065836,1978,3858824-1,MI,1
4082236,1978,3858824-1,MI,0
4082236,1978,3937258-1,TN,0
4096606,1978,3858824-1,MI,1
4120467,1978,3858824-1,MI,1
4135683,1979,3858824-1,MI,0
4135683,1979,3937258-1,TN,0
3888541,1975,3858824-1,MI,1
4163880,1979,3858824-1,MI,1
