patent_id	inventor_id
3858242	3858242-1
3858269	3858269-1
3858269	3858269-2
3858269	3858269-3
3858272	3858272-1
3858272	3858272-2
3858289	3858289-1
3858289	3858289-2
3858289	3858289-3
3858299	3858299-1
3858391	3858391-1
3858391	3858391-2
3858391	3858391-3
3858427	3858427-1
3858427	3858427-2
3858436	3858436-1
3858436	3858436-2
3858455	3858455-1
3858455	3858455-2
3858460	3858460-1
3858460	3858460-2
3858481	3858481-1
3858482	3858482-1
3858533	3858533-1
3858545	3858545-1
3858545	3858545-2
3858545	3858545-3
3858545	3858545-4
3858558	3858558-1
3858606	3858606-1
3858628	3858628-1
3858647	3858647-1
3858647	3858647-2
3858678	3858678-1
3858691	3858691-1
3858698	3858698-1
3858717	3858717-1
3858790	3858790-1
3858815	3858815-1
3858822	3858822-1
3858824	3858824-1
3858826	3858826-1
3858867	3858867-1
3858873	3858873-1
3858877	3858877-1
3858903	3858903-1
3858903	3858903-2
3858914	3858914-1
3858914	3858914-2
3858944	3858944-1
3858944	3858944-2
3858944	3858944-3
3859003	3859003-1
3859003	3859003-2
3859013	3859013-1
3859022	3859022-1
3859022	3859022-2
3859081	3859081-1
3859081	3859081-2
3859142	3859142-1
3859181	3859181-1
3859216	3858455-1
3859216	3859216-2
3859216	3859216-3
3859359	3859359-1
3859411	3859411-1
3859411	3859411-2
3859421	3859421-1
3859441	3859441-1
3859485	3859485-1
3859485	3859485-2
3859515	3859515-1
3859627	3859627-1
3859650	3859650-1
3859660	3859660-1
3859660	3859660-2
3859704	3859704-1
3859705	3859705-1
3859705	3859705-2
3859710	3859710-1
3859710	3859710-2
3859766	3859766-1
3859766	3859766-2
3859775	3859775-1
3859786	3859786-1
3859786	3859786-2
3859786	3859786-3
3859800	3859800-1
3859862	3859862-1
3859866	3859866-1
3859872	3859872-1
3859921	3858824-1
3859952	3859952-1
3859971	3859971-1
3859983	3859983-1
3859983	3859983-2
3860025	3860025-1
3860036	3860036-1
3860058	3860058-1
3860058	3860058-2
3860058	3860058-3
3860062	3860062-1
3860062	3860062-2
3860078	3860078-1
3860111	3860111-1
3860125	3860125-1
3860125	3860125-2
3860222	3860222-1
3860258	3860258-1
3860258	3860258-2
3860258	3860258-3
3860287	3860287-1
3860294	3860294-1
3860296	3860296-1
3860308	3860308-1
3860320	3860320-1
3860346	3860346-1
3860346	3860346-2
3860353	3860353-1
3860353	3860353-2
3860354	3860354-1
3860360	3860360-1
3860362	3860362-1
3860362	3860362-2
3860365	3860365-1
3860366	3860366-1
3860366	3860366-2
3860367	3860367-1
3860367	3860367-2
3860372	3860036-1
3860406	3860406-1
3860406	3860406-2
3860521	3860521-1
3860521	3860521-2
3860521	3860521-3
3860546	3860546-1
3860551	3860551-1
3860551	3860551-2
3860551	3860551-3
3860554	3860554-1
3860633	3860633-1
3860663	3860663-1
3860663	3860663-2
3860663	3860663-3
3860709	3860709-1
3860709	3860709-2
3860719	3860719-1
3860777	3860777-1
3860794	3860794-1
3860794	3860794-2
3860805	3860805-1
3860869	3860869-1
3860875	3860875-1
3860875	3860875-2
3860904	3860904-1
3860999	3860999-1
3861102	3861102-1
3861107	3861107-1
3861108	3861108-1
3861111	3861111-1
3861198	3861198-1
3861199	3861199-1
3861208	3861208-1
3861208	3861208-2
3861215	3861215-1
3861231	3861231-1
3861238	3861238-1
3861297	3861297-1
3861297	3861297-2
3861317	3861317-1
3861325	3861325-1
3861325	3861325-2
3861361	3861361-1
3861361	3861361-2
3861371	3861371-1
3861417	3861417-1
3861454	3861454-1
3861476	3861476-1
3861520	3861520-1
3861556	3861556-1
3861556	3861556-2
3861557	3861557-1
3861566	3861566-1
3861571	3861571-1
3861602	3861602-1
3861614	3861614-1
3861644	3861644-1
3861678	3861678-1
3861681	3861681-1
3861698	3861698-1
3861700	3861700-1
3861711	3861711-1
3861711	3861711-2
3861731	3861731-1
3861737	3861737-1
3861741	3861741-1
3861742	3861742-1
3861742	3861742-2
3861742	3861742-3
3861837	3861837-1
3861837	3861837-2
3861881	3861881-1
3861887	3861887-1
3861950	3861950-1
3861950	3861950-2
3861974	3861974-1
3861974	3861974-2
3862020	3862020-1
3862020	3862020-2
3862079	3862079-1
3862085	3862085-1
3862184	3862184-1
3862184	3862184-2
3862232	3862232-1
3862389	3862389-1
3862437	3862437-1
3862459	3862459-1
3862460	3862460-1
3862498	3862498-1
3862506	3862506-1
3862506	3862506-2
3862518	3862518-1
3862524	3862524-1
3862527	3862527-1
3862540	3862540-1
3862551	3862551-1
3862565	3862565-1
3862581	3862581-1
3862600	3862600-1
3862667	3862667-1
3862668	3862668-1
3862669	3862669-1
3862669	3862669-2
3862669	3862669-3
3862674	3862674-1
3862674	3862674-2
3862682	3862682-1
3862691	3862691-1
3862691	3862691-2
3862727	3862727-1
3862737	3862737-1
3862743	3862743-1
3862743	3862743-2
3862743	3862577-2
3862767	3862767-1
3862783	3862783-1
3862785	3862785-1
3862785	3862785-2
3862785	3862785-3
3862785	3862785-4
3862789	3862789-1
3862789	3862789-2
3862800	3862800-1
3862864	3862864-1
3862864	3862864-2
3862864	3862864-3
3862935	3862184-1
3862946	3862946-1
3862950	3862950-1
3862952	3862952-1
3862956	3862956-1
3862956	3862956-2
3862974	3862974-1
3862974	3862974-2
3862974	3862974-3
3862984	3862984-1
3862984	3862984-2
3863009	3863009-1
3863101	3863101-1
3863116	3863116-1
3863116	3863116-2
3863208	3863208-1
3863210	3863210-1
3863210	3863210-2
3863252	3863252-1
3863265	3863265-1
