treatment	grant_year
3858242	1975
3858269	1975
3858272	1975
3858289	1975
3858299	1975
3858391	1975
3858427	1975
3858436	1975
3858455	1975
3858460	1975
3858481	1975
3858482	1975
3858533	1975
3858545	1975
3858558	1975
3858606	1975
3858628	1975
3858647	1975
3858678	1975
3858691	1975
3858698	1975
3858717	1975
3858790	1975
3858815	1975
3858822	1975
3858824	1975
3858826	1975
3858867	1975
3858873	1975
3858877	1975
3858903	1975
3858914	1975
3858944	1975
3859003	1975
3859013	1975
3859022	1975
3859081	1975
3859142	1975
3859181	1975
3859216	1975
3859359	1975
3859411	1975
3859421	1975
3859441	1975
3859485	1975
3859515	1975
3859627	1975
3859650	1975
3859660	1975
3859704	1975
3859705	1975
3859710	1975
3859766	1975
3859775	1975
3859786	1975
3859800	1975
3859862	1975
3859866	1975
3859872	1975
3859921	1975
3859952	1975
3859971	1975
3859983	1975
3860025	1975
3860036	1975
3860058	1975
3860062	1975
3860078	1975
3860111	1975
3860125	1975
3860222	1975
3860258	1975
3860287	1975
3860294	1975
3860296	1975
3860308	1975
3860320	1975
3860346	1975
3860353	1975
3860354	1975
3860360	1975
3860362	1975
3860365	1975
3860366	1975
3860367	1975
3860372	1975
3860406	1975
3860521	1975
3860546	1975
3860551	1975
3860554	1975
3860633	1975
3860663	1975
3860709	1975
3860719	1975
3860777	1975
3860794	1975
3860805	1975
3860869	1975
3860875	1975
3860904	1975
3860999	1975
3861102	1975
3861107	1975
3861108	1975
3861111	1975
3861198	1975
3861199	1975
3861208	1975
3861215	1975
3861231	1975
3861238	1975
3861297	1975
3861317	1975
3861325	1975
3861361	1975
3861371	1975
3861417	1975
3861454	1975
3861476	1975
3861520	1975
3861556	1975
3861557	1975
3861566	1975
3861571	1975
3861602	1975
3861614	1975
3861644	1975
3861678	1975
3861681	1975
3861698	1975
3861700	1975
3861711	1975
3861731	1975
3861737	1975
3861741	1975
3861742	1975
3861837	1975
3861881	1975
3861887	1975
3861950	1975
3861974	1975
3862020	1975
3862079	1975
3862085	1975
3862184	1975
3862232	1975
3862389	1975
3862437	1975
3862459	1975
3862460	1975
3862498	1975
3862506	1975
3862518	1975
3862524	1975
3862527	1975
3862540	1975
3862551	1975
3862565	1975
3862581	1975
3862600	1975
3862667	1975
3862668	1975
3862669	1975
3862674	1975
3862682	1975
3862691	1975
3862727	1975
3862737	1975
3862743	1975
3862767	1975
3862783	1975
3862785	1975
3862789	1975
3862800	1975
3862864	1975
3862935	1975
3862946	1975
3862950	1975
3862952	1975
3862956	1975
3862974	1975
3862984	1975
3863009	1975
3863101	1975
3863116	1975
3863208	1975
3863210	1975
3863252	1975
3863265	1975
3863303	1975
3863351	1975
3863398	1975
3863413	1975
3863445	1975
3863450	1975
3863467	1975
3863648	1975
3863658	1975
3863670	1975
3863674	1975
3863726	1975
3863727	1975
3863828	1975
3863840	1975
3863907	1975
3863909	1975
3863926	1975
3863935	1975
3863964	1975
3864053	1975
3864059	1975
3864081	1975
3864092	1975
3864109	1975
3864387	1975
3864437	1975
3864531	1975
3864613	1975
3864629	1975
3864686	1975
3864693	1975
3864745	1975
3864805	1975
3864808	1975
3864829	1975
3864840	1975
3864861	1975
3864988	1975
3864992	1975
3865039	1975
3865087	1975
3865095	1975
3865159	1975
3865205	1975
3865228	1975
3865329	1975
3865355	1975
3865385	1975
3865441	1975
3865514	1975
3865544	1975
3865638	1975
3865642	1975
3865656	1975
3865657	1975
3865658	1975
3865659	1975
3865669	1975
3865670	1975
3865688	1975
3865717	1975
3865728	1975
3865782	1975
3865822	1975
3865831	1975
3865897	1975
3865906	1975
3865923	1975
3865928	1975
3865949	1975
3865953	1975
3866004	1975
3866034	1975
3866139	1975
3866171	1975
3866271	1975
3866285	1975
3866287	1975
3866289	1975
3866369	1975
3866377	1975
3866384	1975
3866473	1975
3866485	1975
3866520	1975
3866542	1975
3866548	1975
3866592	1975
3866598	1975
3866666	1975
3866714	1975
3866721	1975
3866767	1975
3866769	1975
3866825	1975
3866881	1975
3866895	1975
3866896	1975
3866926	1975
3866932	1975
3866934	1975
3866936	1975
3866940	1975
3866966	1975
3866968	1975
3866975	1975
3866978	1975
3867084	1975
3867088	1975
3867115	1975
3867160	1975
3867177	1975
3867240	1975
3867250	1975
3867288	1975
3867298	1975
3867312	1975
3867315	1975
3867360	1975
3867427	1975
3867462	1975
3867477	1975
3867485	1975
3867521	1975
3867530	1975
3867533	1975
3867534	1975
3867544	1975
3867545	1975
3867640	1975
3867740	1975
3867747	1975
3867750	1975
3867758	1975
3867772	1975
3867779	1975
3867823	1975
3867843	1975
3867919	1975
3867999	1975
3868015	1975
3868020	1975
3868105	1975
3868114	1975
3868126	1975
3868132	1975
3868156	1975
3868192	1975
3868209	1975
3868235	1975
3868425	1975
3868426	1975
3868444	1975
3868565	1975
3868570	1975
3868627	1975
3868651	1975
3868730	1975
3868732	1975
3868752	1975
3868766	1975
3868788	1975
3868796	1975
3868798	1975
3868846	1975
3868864	1975
3868868	1975
3868886	1975
3868888	1975
3868889	1975
3868896	1975
3868923	1975
3868930	1975
3868934	1975
3868942	1975
3868945	1975
3868986	1975
3868991	1975
3869001	1975
3869015	1975
3869017	1975
3869019	1975
3869025	1975
3869038	1975
3869040	1975
3869078	1975
3869097	1975
3869098	1975
3869138	1975
3869139	1975
3869140	1975
3869142	1975
3869144	1975
3869157	1975
3869167	1975
3869173	1975
3869175	1975
3869177	1975
3869222	1975
3869246	1975
3869258	1975
3869259	1975
3869279	1975
3869299	1975
3869424	1975
3869425	1975
3869426	1975
3869466	1975
3869528	1975
3869530	1975
3869544	1975
3869545	1975
3869669	1975
3869740	1975
3869760	1975
3869785	1975
3869801	1975
3869827	1975
3869833	1975
3869859	1975
3869925	1975
3869934	1975
3869943	1975
3869947	1975
3870058	1975
3870086	1975
3870120	1975
3870154	1975
3870157	1975
3870202	1975
3870211	1975
3870221	1975
3870270	1975
3870271	1975
3870363	1975
3870384	1975
3870390	1975
3870404	1975
3870412	1975
3870417	1975
3870505	1975
3870618	1975
3870640	1975
3870699	1975
3870744	1975
3870789	1975
3870793	1975
3870794	1975
3870978	1975
3870987	1975
3871029	1975
3871041	1975
3871060	1975
3871063	1975
3871089	1975
3871090	1975
3871093	1975
3871140	1975
3871203	1975
3871249	1975
3871306	1975
3871316	1975
3871317	1975
3871350	1975
3871430	1975
3871526	1975
3871540	1975
3871585	1975
3871589	1975
3871627	1975
3871669	1975
3871670	1975
3871684	1975
3871704	1975
3871717	1975
3871720	1975
3871796	1975
3871810	1975
3871850	1975
3871876	1975
3872038	1975
3872047	1975
3872176	1975
3872232	1975
3872270	1975
3872279	1975
3872319	1975
3872320	1975
3872438	1975
3872492	1975
3872515	1975
3872526	1975
3872540	1975
3872544	1975
3872548	1975
3872602	1975
3872638	1975
3872650	1975
3872666	1975
3872669	1975
3872687	1975
3872689	1975
3872701	1975
3872705	1975
3872709	1975
3872712	1975
3872755	1975
3872797	1975
3872802	1975
3872805	1975
3872845	1975
3872846	1975
3872847	1975
3872848	1975
3872849	1975
3872867	1975
3872890	1975
3872918	1975
3872949	1975
3872955	1975
3872979	1975
3872983	1975
3872990	1975
3873041	1975
3873094	1975
3873107	1975
3873155	1975
3873170	1975
3873176	1975
3873249	1975
3873250	1975
3873251	1975
3873334	1975
3873348	1975
3873392	1975
3873488	1975
3873493	1975
3873499	1975
3873502	1975
3873523	1975
3873565	1975
3873570	1975
3873571	1975
3873636	1975
3873727	1975
3873743	1975
3873755	1975
3873758	1975
3873770	1975
3873789	1975
3873800	1975
3873864	1975
3873901	1975
3873902	1975
3873955	1975
3873997	1975
3874049	1975
3874059	1975
3874089	1975
3874095	1975
3874096	1975
3874098	1975
3874138	1975
3874219	1975
3874250	1975
3874265	1975
3874321	1975
3874340	1975
3874354	1975
3874361	1975
3874474	1975
3874485	1975
3874538	1975
3874647	1975
3874682	1975
3874694	1975
3874702	1975
3874707	1975
3874709	1975
3874719	1975
3874722	1975
3874729	1975
3874730	1975
3874731	1975
3874754	1975
3874773	1975
3874808	1975
3874841	1975
3874854	1975
3874883	1975
3874893	1975
3874983	1975
3875027	1975
3875032	1975
3875059	1975
3875187	1975
3875203	1975
3875214	1975
3875215	1975
3875226	1975
3875242	1975
3875258	1975
3875281	1975
3875293	1975
3875296	1975
3875382	1975
3875392	1975
3875475	1975
3875483	1975
3875566	1975
3875594	1975
3875604	1975
3875661	1975
3875674	1975
3875703	1975
3875707	1975
3875719	1975
3875820	1975
3875847	1975
3875848	1975
3875908	1975
3875952	1975
3875987	1975
3875994	1975
3876023	1975
3876031	1975
3876093	1975
3876126	1975
3876163	1975
3876164	1975
3876193	1975
3876214	1975
3876228	1975
3876248	1975
3876338	1975
3876339	1975
3876341	1975
3876346	1975
3876347	1975
3876352	1975
3876399	1975
3876470	1975
3876492	1975
3876495	1975
3876509	1975
3876513	1975
3876520	1975
3876611	1975
3876612	1975
3876619	1975
3876674	1975
3876676	1975
3876743	1975
3876746	1975
3876750	1975
3876812	1975
3876820	1975
3876974	1975
3877000	1975
3877002	1975
3877020	1975
3877049	1975
3877053	1975
3877087	1975
3877115	1975
3877191	1975
3877194	1975
3877223	1975
3877241	1975
3877253	1975
3877271	1975
3877275	1975
3877279	1975
3877290	1975
3877315	1975
3877319	1975
3877408	1975
3877446	1975
3877449	1975
3877536	1975
3877547	1975
3877550	1975
3877584	1975
3877620	1975
3877623	1975
3877670	1975
3877690	1975
3877691	1975
3877708	1975
3877714	1975
3877780	1975
3877852	1975
3877865	1975
3877908	1975
3877972	1975
3877976	1975
3877990	1975
3878010	1975
3878047	1975
3878067	1975
3878082	1975
3878133	1975
3878140	1975
3878165	1975
3878227	1975
3878234	1975
3878263	1975
3878295	1975
3878364	1975
3878394	1975
3878422	1975
3878437	1975
3878446	1975
3878578	1975
3878592	1975
3878598	1975
3878599	1975
3878613	1975
3878643	1975
3878676	1975
3878678	1975
3878679	1975
3878706	1975
3878707	1975
3878773	1975
3878820	1975
3878823	1975
3878825	1975
3878856	1975
3878887	1975
3878913	1975
3878921	1975
3878950	1975
3878958	1975
3879023	1975
3879072	1975
3879075	1975
3879082	1975
3879086	1975
3879096	1975
3879109	1975
3879216	1975
3879229	1975
3879254	1975
3879289	1975
3879294	1975
3879328	1975
3879333	1975
3879353	1975
3879359	1975
3879365	1975
3879389	1975
3879393	1975
3879395	1975
3879400	1975
3879413	1975
