citing	cited	citing_year	state	assignee_id
5691026	3858269	1997	MN	fd9d6ed41331a4af4c51bdc5946cb932
5691027	3858269	1997	MN	fd9d6ed41331a4af4c51bdc5946cb932
5902427	3858269	1999	MN	fd9d6ed41331a4af4c51bdc5946cb932
5902427	3858269	1999	MN	fd9d6ed41331a4af4c51bdc5946cb932
5956804	3858269	1999	CA	ae8f65c934659fdc766429928fd9cc6c
5956804	3858269	1999	CA	ae8f65c934659fdc766429928fd9cc6c
4970754	3858269	1990	MN	
4970754	3858269	1990	MN	
5073391	3858545	1991	MN	4ffa84ec9011fffd5d942ebdd668e6ec
5073391	3858545	1991	MN	4ffa84ec9011fffd5d942ebdd668e6ec
6408980	3858678	2002	CA	NULL
6648099	3858678	2003	CA	NULL
6715581	3858678	2004	CA	NULL
4356885	3858678	1982	CA	
4356885	3858678	1982	CA	
7552797	3858678	2009	CA	0109bd8bca6ba29324d9982fbba6b59c
5370328	3858822	1994	OK	
5370328	3858822	1994	OK	
5697566	3858822	1997	CA	9f8d611b55dd452b27de93072fa30273
7350729	3858822	2008	CA	NULL
4081152	3858826	1978	CA	7b384df0de79c7219416bb4e01cfa424
4081152	3858826	1978	CA	7b384df0de79c7219416bb4e01cfa424
4106721	3858826	1978	CA	7b384df0de79c7219416bb4e01cfa424
4106721	3858826	1978	CA	7b384df0de79c7219416bb4e01cfa424
5529689	3859216	1996	CT	
4344777	3859216	1982	CA	
4344777	3859216	1982	CA	
8293103	3859216	2012	MN	b10dc69c68f7bd6df9a6c218c2d10e51
4626348	3859216	1986	CA	ab18501cdf0b657cb1ced1fc169e6f81
4626348	3859216	1986	CA	ab18501cdf0b657cb1ced1fc169e6f81
4735716	3859216	1988	CT	82847eb2ea21eb5bd2ec7eeabaf8c51a
4735716	3859216	1988	CT	82847eb2ea21eb5bd2ec7eeabaf8c51a
4877521	3859216	1989	CT	82847eb2ea21eb5bd2ec7eeabaf8c51a
4877521	3859216	1989	CT	82847eb2ea21eb5bd2ec7eeabaf8c51a
4948505	3859216	1990	CT	82847eb2ea21eb5bd2ec7eeabaf8c51a
4948505	3859216	1990	CT	82847eb2ea21eb5bd2ec7eeabaf8c51a
5104537	3859216	1992	MN	b10dc69c68f7bd6df9a6c218c2d10e51
5104537	3859216	1992	MN	b10dc69c68f7bd6df9a6c218c2d10e51
7000894	3859216	2006	MN	8f8902b2f3f905fb6d9913651045a75e
7000894	3859216	2006	MN	8f8902b2f3f905fb6d9913651045a75e
7658212	3859216	2010	MN	358d3cb746241ec1105de0542e47fbcd
7658212	3859216	2010	MN	358d3cb746241ec1105de0542e47fbcd
7610932	3859216	2009	MN	9cc20cbebd1093b6e909909128ea9cea
7610932	3859216	2009	MN	9cc20cbebd1093b6e909909128ea9cea
4173575	3859359	1979	OK	62fe3c8ac8971341191bd1aaedcb5d80
4173575	3859359	1979	OK	62fe3c8ac8971341191bd1aaedcb5d80
4363764	3859359	1982	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
4363764	3859359	1982	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
4400548	3859359	1983	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
4400548	3859359	1983	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
4446074	3859359	1984	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
4446074	3859359	1984	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
4491675	3859359	1985	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
4491675	3859359	1985	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
4522933	3859359	1985	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
4522933	3859359	1985	WV	684c4144f1a5f86c9b63c2e6c9bd25c6
6140921	3859485	2000	CA	NULL
4786967	3859485	1988	CA	b013611171075d2ce67f728423e5d971
4786967	3859485	1988	CA	b013611171075d2ce67f728423e5d971
4099250	3859515	1978	CA	0b5134d0eab6914ffb2fc72e05ebb8ff
4099250	3859515	1978	CA	0b5134d0eab6914ffb2fc72e05ebb8ff
4454610	3859515	1984	CA	7aeaea6f95d5de3ebc59864229febf07
4454610	3859515	1984	CA	7aeaea6f95d5de3ebc59864229febf07
4646351	3859515	1987	CA	e26e0844167e1b3a771ae817e9c27759
4646351	3859515	1987	CA	e26e0844167e1b3a771ae817e9c27759
3969699	3859515	1976	MN	80a22be99aebb9b2ce0372dcec3cef7e
3969699	3859515	1976	MN	80a22be99aebb9b2ce0372dcec3cef7e
6901422	3859515	2005	CA	715bc3ce00dac26af4204b36a069be57
7337205	3859515	2008	CA	65d34c7319003e4e5bd234006c0be587
5231663	3859515	1993	MN	
5231663	3859515	1993	MN	
7132934	3859627	2006	NV	NULL
4116132	3859650	1978	CA	26a3e03c76b942c710e94947ba969535
4116132	3859650	1978	CA	26a3e03c76b942c710e94947ba969535
5517196	3859660	1996	CA	
4229828	3859660	1980	CA	0b5134d0eab6914ffb2fc72e05ebb8ff
4229828	3859660	1980	CA	0b5134d0eab6914ffb2fc72e05ebb8ff
4414548	3859660	1983	CA	d1398639ae68c43f919489b9b08f11c3
4414548	3859660	1983	CA	d1398639ae68c43f919489b9b08f11c3
4660050	3859660	1987	CA	d1398639ae68c43f919489b9b08f11c3
4660050	3859660	1987	CA	d1398639ae68c43f919489b9b08f11c3
5325096	3859660	1994	CA	373a3dccd1c99ff99735d604f0d32001
5325096	3859660	1994	CA	373a3dccd1c99ff99735d604f0d32001
4511183	3859704	1985	CA	f9d007b1f0eddcd221962a358c0d6df0
4511183	3859704	1985	CA	f9d007b1f0eddcd221962a358c0d6df0
4530542	3859704	1985	CA	f9d007b1f0eddcd221962a358c0d6df0
4530542	3859704	1985	CA	f9d007b1f0eddcd221962a358c0d6df0
4638899	3859705	1987	MN	e2f90b53c2a99638caf547c6aa585d2c
4638899	3859705	1987	MN	e2f90b53c2a99638caf547c6aa585d2c
4027370	3859705	1977	CT	c3d7cd186438aab4b1cf92ff48c20a97
4027370	3859705	1977	CT	c3d7cd186438aab4b1cf92ff48c20a97
6516580	3859766	2003	CA	1f7cec4399b9ae48622a1de29e8dad40
7159368	3859766	2007	CA	03b03ab4d5932e2c22b85fcf50b466c0
4151711	3859786	1979	OK	c4a9b91d3dedcd1f5c6789e0a8a36b3a
4151711	3859786	1979	OK	c4a9b91d3dedcd1f5c6789e0a8a36b3a
4171612	3859786	1979	CA	
4171612	3859786	1979	CA	
6240731	3859786	2001	CT	57a9ba9d24d8d3e2021879b2443739ce
4385490	3859786	1983	OK	c4a9b91d3dedcd1f5c6789e0a8a36b3a
4385490	3859786	1983	OK	c4a9b91d3dedcd1f5c6789e0a8a36b3a
