id	year(patent.date)	inventor_id	state
3988564	1976	3858304-2	CA
3858304	1975	3858304-2	CA
3914708	1975	3858304-2	CA
4614957	1986	3858306-1	MN
3954518	1976	3858306-1	MN
3858306	1975	3858306-1	MN
3979232	1976	3858306-1	MN
4000508	1976	3858306-1	MN
4085500	1978	3858306-1	MN
4270973	1981	3858306-1	MN
4371861	1983	3858306-1	MN
3858315	1975	3858315-1	CT
4535537	1985	3858315-1	CT
4546544	1985	3858315-1	CT
3934339	1976	3858315-1	CT
4683096	1987	3858315-1	CT
4693003	1987	3858315-1	CT
4692986	1987	3858315-1	CT
4697342	1987	3858315-1	CT
4709477	1987	3858315-1	CT
3952413	1976	3858315-1	CT
4774765	1988	3858315-1	CT
3964159	1976	3858315-1	CT
3869066	1975	3858315-1	CT
5044077	1991	3858315-1	CT
5107590	1992	3858315-1	CT
5157834	1992	3858315-1	CT
5259299	1993	3858315-1	CT
5276967	1994	3858315-1	CT
5301425	1994	3858315-1	CT
5313706	1994	3858315-1	CT
5313705	1994	3858315-1	CT
5327879	1994	3858315-1	CT
5329700	1994	3858315-1	CT
5333383	1994	3858315-1	CT
5369885	1994	3858315-1	CT
5475923	1995	3858315-1	CT
5579580	1996	3858315-1	CT
5666729	1997	3858315-1	CT
5781997	1998	3858315-1	CT
5813119	1998	3858315-1	CT
5822862	1998	3858315-1	CT
5953824	1999	3858315-1	CT
6026577	2000	3858315-1	CT
6317990	2001	3858315-1	CT
3889369	1975	3858315-1	CT
6393706	2002	3858315-1	CT
3890704	1975	3858315-1	CT
7200937	2007	3858315-1	CT
6584696	2003	3858315-1	CT
4213240	1980	3858315-1	CT
4272885	1981	3858315-1	CT
4285125	1981	3858315-1	CT
4294010	1981	3858315-1	CT
4344227	1982	3858315-1	CT
3910455	1975	3858315-1	CT
4428116	1984	3858315-1	CT
4456070	1984	3858401-1	CA
4457378	1984	3858401-1	CA
4465134	1984	3858401-1	CA
4469136	1984	3858401-1	CA
4491439	1985	3858401-1	CA
4499950	1985	3858401-1	CA
4595053	1986	3858401-1	CA
4648747	1987	3858401-1	CA
3952526	1976	3858401-1	CA
4928769	1990	3858401-1	TX
4995464	1991	3858401-1	TX
3992889	1976	3858401-1	CA
5143158	1992	3858401-1	TX
5211228	1993	3858401-1	TX
5226493	1993	3858401-1	TX
5236037	1993	3858401-1	TX
5244038	1993	3858401-1	TX
5287925	1994	3858401-1	TX
5301750	1994	3858401-1	TX
5309991	1994	3858401-1	TX
5323860	1994	3858401-1	TX
5333911	1994	3858401-1	TX
5395183	1995	3858401-1	TX
5441311	1995	3858401-1	TX
5515917	1996	3858401-1	TX
5634671	1997	3858401-1	TX
5687793	1997	3858401-1	TX
5687794	1997	3858401-1	TX
5887659	1999	3858401-1	TX
5992893	1999	3858401-1	TX
3884298	1975	3858401-1	CA
6035938	2000	3858401-1	TX
6050338	2000	3858401-1	TX
3885623	1975	3858401-1	CA
4135841	1979	3858401-1	CA
6173782	2001	3858401-1	TX
6244347	2001	3858401-1	TX
3858401	1975	3858401-1	CA
6293345	2001	3858401-1	TX
3889747	1975	3858401-1	CA
4183562	1980	3858401-1	CA
4200312	1980	3858401-1	CA
4326328	1982	3858401-1	CA
4326584	1982	3858401-1	CA
4333526	1982	3858401-1	CA
4358085	1982	3858401-1	CA
4374595	1983	3858401-1	CA
4403658	1983	3858401-1	CA
4428433	1984	3858401-1	CA
4765907	1988	3858499-1	CA
5276957	1994	3858499-1	MI
4019508	1977	3858499-1	CA
5540028	1996	3858499-1	CA
3884808	1975	3858499-1	CA
3858499	1975	3858499-1	CA
4279188	1981	3858499-1	CA
4705055	1987	3858500-2	CA
4759938	1988	3858500-2	CA
3858500	1975	3858500-2	CA
4170935	1979	3858500-2	CA
4337865	1982	3858500-2	CA
3858509	1975	3858509-1	CA
4118129	1978	3858509-1	CA
3927393	1975	3858514-2	MN
4743490	1988	3858514-2	MN
3986205	1976	3858514-2	MN
3986206	1976	3858514-2	MN
3995313	1976	3858514-2	MN
3878367	1975	3858514-2	MN
4090662	1978	3858514-2	MN
5853846	1998	3858514-2	MN
4103340	1978	3858514-2	MN
3858514	1975	3858514-2	MN
6468678	2002	3858514-2	MN
3897288	1975	3858514-2	MN
4363038	1982	3858514-2	MN
3858546	1975	3858546-1	CA
4269861	1981	3858546-1	CA
4297942	1981	3858546-1	CA
4325295	1982	3858546-1	CA
4510165	1985	3858546-2	CA
4554865	1985	3858546-2	CA
3947241	1976	3858546-2	CA
4738193	1988	3858546-2	CA
4942808	1990	3858546-2	CA
4949629	1990	3858546-2	CA
4977821	1990	3858546-2	CA
3858546	1975	3858546-2	CA
5075120	1991	3858546-2	CA
5112633	1992	3858546-2	CA
5137740	1992	3858546-2	CA
5167979	1992	3858546-2	CA
5316429	1994	3858546-2	CA
5322007	1994	3858546-2	CA
5407692	1995	3858546-2	CA
5580583	1996	3858546-2	CA
5580598	1996	3858546-2	CA
5603973	1997	3858546-2	CA
5626898	1997	3858546-2	CA
5802959	1998	3858546-2	CA
5816138	1998	3858546-2	CA
5934178	1999	3858546-2	CA
6146678	2000	3858546-2	CA
4167585	1979	3858546-2	CA
4251895	1981	3858546-2	CA
4269861	1981	3858546-2	CA
4297942	1981	3858546-2	CA
4325295	1982	3858546-2	CA
4366749	1983	3858546-2	CA
4372200	1983	3858546-2	CA
4392420	1983	3858546-2	CA
4510165	1985	3858546-3	CA
4554865	1985	3858546-3	CA
3947241	1976	3858546-3	CA
4738193	1988	3858546-3	CA
4942808	1990	3858546-3	CA
4949629	1990	3858546-3	CA
4977821	1990	3858546-3	CA
5075120	1991	3858546-3	CA
5112633	1992	3858546-3	CA
5137740	1992	3858546-3	CA
5167979	1992	3858546-3	CA
5215075	1993	3858546-3	CA
5322007	1994	3858546-3	CA
5407692	1995	3858546-3	CA
5580598	1996	3858546-3	CA
5580583	1996	3858546-3	CA
5603973	1997	3858546-3	CA
5626898	1997	3858546-3	CA
5802959	1998	3858546-3	CA
5816138	1998	3858546-3	CA
5934178	1999	3858546-3	CA
3858546	1975	3858546-3	CA
6067899	2000	3858546-3	CA
6146678	2000	3858546-3	CA
4167585	1979	3858546-3	CA
6413566	2002	3858546-3	CA
6467401	2002	3858546-3	CA
6558724	2003	3858546-3	CA
6630190	2003	3858546-3	CA
4251895	1981	3858546-3	CA
4269861	1981	3858546-3	CA
4297942	1981	3858546-3	CA
4325295	1982	3858546-3	CA
4366749	1983	3858546-3	CA
4372200	1983	3858546-3	CA
4392420	1983	3858546-3	CA
3858547	1975	3858547-1	CA
4015558	1977	3858547-1	CA
4221150	1980	3858547-1	CA
4222345	1980	3858547-1	CA
4358472	1982	3858547-1	CA
4369876	1983	3858547-1	CA
4480323	1984	3858574-1	CA
4658209	1987	3858574-1	CA
4759067	1988	3858574-1	CA
3970417	1976	3858574-1	IL
4921575	1990	3858574-1	IL
3981650	1976	3858574-1	IL
5058083	1991	3858574-1	CA
5087325	1992	3858574-1	IL
4016547	1977	3858574-1	CA
5891309	1999	3858574-1	IL
6004432	1999	3858574-1	IL
6117271	2000	3858574-1	IL
4179330	1979	3858574-1	IL
4200919	1980	3858574-1	CA
3900364	1975	3858574-1	IL
4285767	1981	3858574-1	IL
4321107	1982	3858574-1	IL
4325518	1982	3858574-1	IL
3908640	1975	3858574-1	CA
3908636	1975	3858574-1	CA
3858574	1975	3858574-1	CA
4430704	1984	3858574-1	CA
3858577	1975	3858577-1	CA
4146019	1979	3858577-1	CA
4888490	1989	3858577-3	FL
4914270	1990	3858577-3	FL
3999865	1976	3858577-3	CA
5375058	1994	3858577-3	FL
5469371	1995	3858577-3	FL
4068920	1978	3858577-3	CA
4146019	1979	3858577-3	CA
3858577	1975	3858577-3	CA
3923059	1975	3858580-1	CA
3858582	1975	3858580-1	CA
3941171	1976	3858580-1	CA
3941131	1976	3858580-1	CA
3942514	1976	3858580-1	CA
3945382	1976	3858580-1	CA
3999451	1976	3858580-1	CA
3882909	1975	3858580-1	CA
3858580	1975	3858580-1	CA
4182326	1980	3858580-1	CA
4191225	1980	3858580-1	CA
4253501	1981	3858580-1	CA
4259956	1981	3858580-1	CA
4286389	1981	3858580-1	CA
4296747	1981	3858580-1	CA
4499355	1985	3858588-1	FL
3950052	1976	3858588-1	CT
3858588	1975	3858588-1	CT
3973528	1976	3858588-1	CT
3994290	1976	3858588-1	CT
4034201	1977	3858588-1	CT
3885127	1975	3858588-1	CT
4114194	1978	3858588-1	CT
4145600	1979	3858588-1	CT
4147921	1979	3858588-1	CT
4171701	1979	3858588-1	CT
4195218	1980	3858588-1	CT
4198559	1980	3858588-1	CT
4203026	1980	3858588-1	CT
4209685	1980	3858588-1	CT
4214365	1980	3858588-1	CT
4221050	1980	3858588-1	CT
4260875	1981	3858588-1	CT
4263500	1981	3858588-1	CT
4366365	1982	3858588-1	CT
4424437	1984	3858588-1	FL
4591020	1986	3858620-1	CA
3858620	1975	3858620-1	CA
4055301	1977	3858620-1	CA
4055302	1977	3858620-1	CA
4055306	1977	3858620-1	CA
4139076	1979	3858620-1	CA
3889880	1975	3858620-1	CA
4204631	1980	3858620-1	CA
3930540	1976	3858649-1	OK
4560004	1985	3858649-1	OK
4589485	1986	3858649-1	OK
3964305	1976	3858649-1	OK
3858649	1975	3858649-1	OK
5507349	1996	3858649-1	OK
4058165	1977	3858649-1	OK
3860069	1975	3858649-1	OK
3930540	1976	3858649-2	OK
3964305	1976	3858649-2	OK
3860069	1975	3858649-2	OK
4058165	1977	3858649-2	OK
3858649	1975	3858649-2	OK
3858655	1975	3858655-2	OK
