citing	cited	citing_year	state
5691026	3858269	1997	MN
5691027	3858269	1997	MN
5902427	3858269	1999	MN
5956804	3858269	1999	CA
4970754	3858269	1990	MN
5073391	3858545	1991	MN
6408980	3858678	2002	CA
6648099	3858678	2003	CA
6715581	3858678	2004	CA
4356885	3858678	1982	CA
7552797	3858678	2009	CA
5370328	3858822	1994	OK
5697566	3858822	1997	CA
7350729	3858822	2008	CA
4081152	3858826	1978	CA
4106721	3858826	1978	CA
5529689	3859216	1996	CT
4344777	3859216	1982	CA
8293103	3859216	2012	MN
4626348	3859216	1986	CA
4735716	3859216	1988	CT
4877521	3859216	1989	CT
4948505	3859216	1990	CT
5104537	3859216	1992	MN
7000894	3859216	2006	MN
7658212	3859216	2010	MN
7610932	3859216	2009	MN
4173575	3859359	1979	OK
4363764	3859359	1982	WV
4400548	3859359	1983	WV
4446074	3859359	1984	WV
4491675	3859359	1985	WV
4522933	3859359	1985	WV
6140921	3859485	2000	CA
4786967	3859485	1988	CA
4099250	3859515	1978	CA
4454610	3859515	1984	CA
4646351	3859515	1987	CA
3969699	3859515	1976	MN
6901422	3859515	2005	CA
7337205	3859515	2008	CA
5231663	3859515	1993	MN
7132934	3859627	2006	NV
4116132	3859650	1978	CA
5517196	3859660	1996	CA
4229828	3859660	1980	CA
4414548	3859660	1983	CA
4660050	3859660	1987	CA
5325096	3859660	1994	CA
4511183	3859704	1985	CA
4530542	3859704	1985	CA
4638899	3859705	1987	MN
4027370	3859705	1977	CT
6516580	3859766	2003	CA
7159368	3859766	2007	CA
4151711	3859786	1979	OK
4171612	3859786	1979	CA
6240731	3859786	2001	CT
4385490	3859786	1983	OK
4498287	3859786	1985	OK
4590769	3859786	1986	CT
3982392	3859786	1976	CT
4403459	3859800	1983	WA
7946309	3860025	2011	CT
8291928	3860025	2012	CT
7851054	3860036	2010	MN
6967778	3860036	2005	MN
7329465	3860036	2008	MN
5901751	3860036	1999	CA
5976424	3860036	1999	MN
5991077	3860036	1999	MN
5999317	3860036	1999	MN
6000415	3860036	1999	CA
6012820	3860036	2000	MN
6876427	3860036	2005	MN
6024455	3860036	2000	MN
6031665	3860036	2000	MN
6045894	3860036	2000	MN
6049419	3860036	2000	MN
6053795	3860036	2000	MN
6057961	3860036	2000	MN
6080467	3860036	2000	MN
6088067	3860036	2000	MN
6088159	3860036	2000	MN
6096375	3860036	2000	MN
6101032	3860036	2000	MN
6111696	3860036	2000	MN
6111697	3860036	2000	MN
6113811	3860036	2000	MN
6120026	3860036	2000	MN
6124971	3860036	2000	MN
6141149	3860036	2000	MN
7652820	3860036	2010	MN
6157486	3860036	2000	MN
6179948	3860036	2001	MN
6208466	3860036	2001	MN
6210785	3860036	2001	MN
6256146	3860036	2001	MN
6262842	3860036	2001	MN
6264336	3860036	2001	MN
6268961	3860036	2001	MN
6297906	3860036	2001	MN
6307676	3860036	2001	MN
6322236	3860036	2001	CA
6329046	3860036	2001	MN
6335051	3860036	2002	MN
7297393	3860036	2007	MN
6352761	3860036	2002	MN
6357880	3860036	2002	MN
6368699	3860036	2002	MN
7348066	3860036	2008	MN
6396631	3860036	2002	MN
6407862	3860036	2002	MN
6449092	3860036	2002	MN
6449093	3860036	2002	MN
6451414	3860036	2002	MN
6455140	3860036	2002	MN
6459514	3860036	2002	MN
6475609	3860036	2002	MN
