id	year(patent.date)	inventor_id	state
4566137	1986	3858242-1	MI
3858242	1975	3858242-1	MI
3873997	1975	3858242-1	MI
5682689	1997	3858242-1	MI
6385781	2002	3858242-1	MI
3906546	1975	3858242-1	MI
4354284	1982	3858242-1	MI
4354283	1982	3858242-1	MI
4375108	1983	3858242-1	MI
4398306	1983	3858242-1	MI
3916446	1975	3858242-1	MI
3858269	1975	3858269-1	MI
3858269	1975	3858269-2	MI
3858269	1975	3858269-3	MI
3858272	1975	3858272-1	MI
3858272	1975	3858272-2	MI
4482041	1984	3858288-1	MI
4534458	1985	3858288-1	MI
3931875	1976	3858288-1	MI
4601374	1986	3858288-1	MI
3937535	1976	3858288-1	MI
4620625	1986	3858288-1	MI
4644646	1987	3858288-1	MI
4815867	1989	3858288-1	MI
4894913	1990	3858288-1	MI
3870384	1975	3858288-1	MI
3978566	1976	3858288-1	MI
4991702	1991	3858288-1	MI
3871093	1975	3858288-1	MI
4019784	1977	3858288-1	MI
4026399	1977	3858288-1	MI
4033440	1977	3858288-1	MI
4054339	1977	3858288-1	MI
5685723	1997	3858288-1	MI
5697792	1997	3858288-1	MI
5823308	1998	3858288-1	MI
4117917	1978	3858288-1	MI
6033228	2000	3858288-1	MI
4132105	1979	3858288-1	MI
6213917	2001	3858288-1	MI
4153308	1979	3858288-1	MI
4179780	1979	3858288-1	MI
4219246	1980	3858288-1	MI
3858288	1975	3858288-1	MI
4226321	1980	3858288-1	MI
4276974	1981	3858288-1	MI
4296977	1981	3858288-1	MI
4304412	1981	3858288-1	MI
4355992	1982	3858288-1	MI
3858289	1975	3858289-1	MI
3942363	1976	3858289-1	MI
3858289	1975	3858289-2	MI
3872712	1975	3858289-2	MI
3896670	1975	3858289-2	MI
4518268	1985	3858289-3	MI
3942363	1976	3858289-3	MI
3858289	1975	3858289-3	MI
3872712	1975	3858289-3	MI
4174627	1979	3858289-3	MI
4285233	1981	3858289-3	MI
4484385	1984	3858299-1	MI
4630363	1986	3858299-1	MI
4998659	1991	3858299-1	MI
3858299	1975	3858299-1	MI
4384667	1983	3858299-1	MI
3858391	1975	3858391-1	MI
3938321	1976	3858391-1	MI
3878678	1975	3858391-1	MI
3888458	1975	3858391-1	MI
3902316	1975	3858391-1	MI
3938321	1976	3858391-2	IN
3952502	1976	3858391-2	IN
3858391	1975	3858391-2	MI
3893291	1975	3858391-2	IN
3938321	1976	3858391-3	IN
3952502	1976	3858391-3	IN
3869660	1975	3858391-3	IN
4041440	1977	3858391-3	IN
4181889	1980	3858391-3	IN
3893291	1975	3858391-3	IN
3858391	1975	3858391-3	MI
3858436	1975	3858436-1	MI
3858436	1975	3858436-2	MI
3858455	1975	3858455-1	MI
3859216	1975	3858455-1	MI
3990549	1976	3858455-1	MI
4006805	1977	3858455-1	MI
3893345	1975	3858455-1	MI
3916710	1975	3858455-1	MI
3916714	1975	3858455-1	MI
4031762	1977	3858455-2	MI
3893345	1975	3858455-2	MI
3916710	1975	3858455-2	MI
3916714	1975	3858455-2	MI
3858455	1975	3858455-2	MI
3858460	1975	3858460-1	MI
5150685	1992	3858460-1	MI
5203305	1993	3858460-1	MI
5644104	1997	3858460-1	MI
4679455	1987	3858460-2	MI
3858460	1975	3858460-2	MI
4174644	1979	3858460-2	MI
4222283	1980	3858460-2	MI
3907469	1975	3858460-2	MI
4341281	1982	3858460-2	MI
3858545	1975	3858545-1	MI
3858545	1975	3858545-2	MI
3912070	1975	3858545-2	MI
3858545	1975	3858545-3	MI
4104412	1978	3858545-4	MI
3858545	1975	3858545-4	MI
4395427	1983	3858545-4	MI
3930767	1976	3858558-1	MI
3996898	1976	3858558-1	MI
3858558	1975	3858558-1	MI
3858606	1975	3858606-1	MI
4930401	1990	3858606-1	MI
4111226	1978	3858606-1	MI
4181148	1980	3858606-1	MI
4227547	1980	3858606-1	MI
4257455	1981	3858606-1	MI
4330013	1982	3858606-1	MI
4372202	1983	3858606-1	MI
3858628	1975	3858628-1	MI
3858647	1975	3858647-1	MI
4071934	1978	3858647-1	MI
5197319	1993	3858647-2	MI
4253224	1981	3858647-2	MI
3858647	1975	3858647-2	MI
3989121	1976	3858678-1	MI
3858678	1975	3858678-1	MI
3858698	1975	3858698-1	MI
3863450	1975	3858698-1	MI
3858822	1975	3858822-1	MI
3858824	1975	3858824-1	MI
3938755	1976	3858824-1	MI
3938754	1976	3858824-1	MI
3940083	1976	3858824-1	MI
4881778	1989	3858824-1	MI
3969795	1976	3858824-1	MI
3995788	1976	3858824-1	MI
4000548	1977	3858824-1	MI
4007948	1977	3858824-1	MI
3874694	1975	3858824-1	MI
4027829	1977	3858824-1	MI
3859921	1975	3858824-1	MI
4065836	1978	3858824-1	MI
4082236	1978	3858824-1	MI
4096606	1978	3858824-1	MI
4120467	1978	3858824-1	MI
4135683	1979	3858824-1	MI
3888541	1975	3858824-1	MI
4163880	1979	3858824-1	MI
4168810	1979	3858824-1	MI
4168850	1979	3858824-1	MI
4190267	1980	3858824-1	MI
4209142	1980	3858824-1	MI
3895823	1975	3858824-1	MI
4230342	1980	3858824-1	MI
4232882	1980	3858824-1	MI
3897611	1975	3858824-1	MI
4266810	1981	3858824-1	MI
3901461	1975	3858824-1	MI
4303209	1981	3858824-1	MI
4306735	1981	3858824-1	MI
4310177	1982	3858824-1	MI
4324418	1982	3858824-1	MI
4327882	1982	3858824-1	MI
4342471	1982	3858824-1	MI
4343488	1982	3858824-1	MI
4350368	1982	3858824-1	MI
4360225	1982	3858824-1	MI
4374449	1983	3858824-1	MI
4381085	1983	3858824-1	MI
4386452	1983	3858824-1	MI
3913862	1975	3858824-1	MI
3913861	1975	3858824-1	MI
4389059	1983	3858824-1	MI
3961504	1976	3858826-1	MI
3869098	1975	3858826-1	MI
3858826	1975	3858826-1	MI
3939599	1976	3858903-1	MI
3858903	1975	3858903-1	MI
4436139	1984	3858903-2	MI
3920283	1975	3858903-2	MI
4481997	1984	3858903-2	MI
3960388	1976	3858903-2	MI
4131296	1978	3858903-2	GA
4144922	1979	3858903-2	GA
4196918	1980	3858903-2	GA
4202564	1980	3858903-2	GA
3858903	1975	3858903-2	MI
4327791	1982	3858903-2	MI
4371214	1983	3858903-2	MI
4381874	1983	3858903-2	MI
4647086	1987	3858914-1	MI
3858914	1975	3858914-1	MI
3858914	1975	3858914-2	MI
4077426	1978	3858914-2	MI
3858944	1975	3858944-1	MI
3858944	1975	3858944-2	MI
3957283	1976	3858944-3	MI
3858944	1975	3858944-3	MI
3863303	1975	3858944-3	MI
4513640	1985	3859013-1	MI
3929117	1975	3859013-1	MI
3966031	1976	3859013-1	MI
3859013	1975	3859013-1	MI
3983698	1976	3859013-1	MI
5025823	1991	3859013-1	MI
5197355	1993	3859013-1	MI
5289844	1994	3859013-1	MI
5378207	1995	3859013-1	MI
5482512	1996	3859013-1	MI
4049093	1977	3859013-1	MI
4091899	1978	3859013-1	MI
3888227	1975	3859013-1	MI
6742642	2004	3859013-1	MI
6773370	2004	3859013-1	MI
6783477	2004	3859013-1	MI
6827664	2004	3859013-1	MI
7189182	2007	3859013-1	MI
7052430	2006	3859013-1	MI
3859022	1975	3859022-1	MI
3912070	1975	3859022-1	MI
3859022	1975	3859022-2	MI
3859040	1975	3859040-1	MI
3948244	1976	3859040-1	MI
3985120	1976	3859040-1	MI
5173047	1992	3859040-1	PA
4091801	1978	3859040-1	MI
4098255	1978	3859040-1	MI
4160641	1979	3859040-1	MI
