number	inventor_id	assignee_id	date
3858269	3858269-1	e78f1dfa903aaac07a9a0cb378d81ff7	1975-01-07
3858269	3858269-2	e78f1dfa903aaac07a9a0cb378d81ff7	1975-01-07
3858269	3858269-3	e78f1dfa903aaac07a9a0cb378d81ff7	1975-01-07
3858272	3858272-1	32295f99aff4b555214c9ffb6852154d	1975-01-07
3858272	3858272-2	32295f99aff4b555214c9ffb6852154d	1975-01-07
3858289	3858289-1	3ce36ea4d4e26a19a8be7f1a2c0fd012	1975-01-07
3858289	3858289-2	3ce36ea4d4e26a19a8be7f1a2c0fd012	1975-01-07
3858289	3858289-3	3ce36ea4d4e26a19a8be7f1a2c0fd012	1975-01-07
3858299	3858299-1	769284140f35986c9706be7f872ff2fa	1975-01-07
3858391	3858391-1	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858391	3858391-2	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858391	3858391-3	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858436	3858436-1	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858436	3858436-2	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858455	3858455-1	38d9d19922af362937e222c81fbda28b	1975-01-07
3858455	3858455-2	38d9d19922af362937e222c81fbda28b	1975-01-07
3858460	3858460-1	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858460	3858460-2	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858545	3858545-1	a70bc7e08196f5aa13f090d635b6d5ae	1975-01-07
3858545	3858545-2	a70bc7e08196f5aa13f090d635b6d5ae	1975-01-07
3858545	3858545-3	a70bc7e08196f5aa13f090d635b6d5ae	1975-01-07
3858545	3858545-4	a70bc7e08196f5aa13f090d635b6d5ae	1975-01-07
3858558	3858558-1	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858606	3858606-1	2a7bca24944ffe8133a6acf56089b73f	1975-01-07
3858628	3858628-1	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858678	3858678-1	f6fa6aec7ad4f4c806f11da0b5031deb	1975-01-07
3858698	3858698-1	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858822	3858822-1	8b413bbd10478a47d54b9bddb4b1a518	1975-01-07
3858824	3858824-1	11a92ca96ae5a545b5b23debc5f80afd	1975-01-07
3858826	3858826-1	8d5907a4804a4989a3a6b6555fabb74c	1975-01-07
3858903	3858903-1	7ec0d9623259e58ebfe3e8eef135544a	1975-01-07
